activity_id,activity_date,customer_id,customer_name,activity_type,sales_rep_id,territory,visit_outcome,next_action_date,minutes_spent,lat_long_quality,free_text_note
ASPACT00000001,2024-10-26,ASPDLR000642,United Yusuf Paints,Contractor meet,SR131,KA-Central-7,Demo done,,NA,OK,new counter opened nearby
ASPACT00000002,2025-09-18,ASPDLR000365,National Deepak Mart,Project lead follow-up,SR038,AP-West-9,Complaint raised,,45,OK,
ASPACT00000003,2024-04-15,ASPDLR000203,Shree Anand Hardware,Scheme follow-up,SR009,TN-South-4,Order taken,2024-04-18,15,same gps as prior visit,asked scheme support
ASPACT00000004,2025-01-28,ASPDLR000117,Prime Kavya Distributors,Colour World check,SR113,KA-East-2,Complaint raised,2025-02-01,20,same gps as prior visit,
ASPACT00000005,2025-05-01,ASPDLR000226,Mahalakshmi Revathi Paints,Beat visit,SR039,TN-Central-3,Order taken,2025-05-14,20,OK,cash crunch
ASPACT00000006,2025-09-06,ASPDLR000769,Royal Venkatesh Paints & Co,Scheme follow-up,SR086,AP-East-7,Owner absent,2025-10-05,60,OK,cash crunch
ASPACT00000007,2025-05-17,ASPDLR000192,Ganesh Deepak Agro,Contractor meet,SR012,AP-West-8,Order taken,2025-05-20,45,manual,stockist dispute
ASPACT00000008,2025-01-15,ASPDLR000695,Prime Sowmya Services,Contractor meet,SR070,KL-West-8,Payment follow-up,2025-02-03,15,outside beat,stockist dispute
ASPACT00000009,11/06/2025,ASPDLR000173,City Chandra Paints,Scheme follow-up,SR120,TN-South-4,Owner absent,2025-07-21,60,missing,
ASPACT00000010,18/04/2024,ASPDLR000544,Mahalakshmi Priya Paints,Colour World check,SR066,AP-South-7,Demo done,2024-05-24,45,outside beat,secondary sale low
ASPACT00000011,2026-01-23,ASPDLR000378,SRI GANESH STORES,Contractor meet,SR089,AP-East-3,Complaint raised,2026-03-01,30,missing,cash crunch
ASPACT00000012,2026-01-06,ASPDLR000627,Star Chandra Sales,Scheme follow-up,SR014,TN-North-7,Payment follow-up,2026-01-18,60,outside beat,stockist dispute
ASPACT00000013,2025-03-26,ASPDLR000334,National Farida Depot,Beat visit,SR008,AP-East-3,Competitor push seen,2025-04-28,15,OK,secondary sale low
ASPACT00000014,10/28/2025,ASPDLR000195,Metro Sanjay Paints,Scheme follow-up,SR094,KA-North-8,Stock checked,2025-11-27,10,OK,cash crunch
ASPACT00000015,2024-08-21,ASPDLR000364,Sri Sowmya Mart,Beat visit,SR141,KA-West-3,Complaint raised,2024-09-10,NA,missing,secondary sale low
ASPACT00000016,2025-10-12,ASPDLR000875,Lucky Bala Agro,Beat visit,SR122,TN-South-7,Owner absent,2025-11-04,10,missing,asked scheme support
ASPACT00000017,2024-09-24,ASPDLR000667,Shree Meena Paints,Beat visit,SR073,KL-East-7,Competitor push seen,,45,same gps as prior visit,asked scheme support
ASPACT00000018,2026-01-04,ASPDLR000482,Sree Karthik Paints,Colour World check,SR091,KA-South-6,Competitor push seen,,10,manual,asked scheme support
ASPACT00000019,2025-12-05,ASPDLR000642,United Yusuf Paints,Colour World check,SR131,KA-Central-7,Stock checked,2026-01-15,10,outside beat,stockist dispute
ASPACT00000020,2024-09-14,ASPDLR000507,Modern Yusuf Depot,Contractor meet,SR004,TN-East-8,No order,,NA,missing,new counter opened nearby
ASPACT00000021,2025-08-11,ASPDLR000117,Prime Kavya Distributors,Service visit,SR113,KA-East-2,No order,2025-08-27,5,same gps as prior visit,stockist dispute
ASPACT00000022,2024-04-24,ASPDLR000796,Sri Yusuf Associates,Colour World check,SR003,KA-South-5,Payment follow-up,2024-04-30,5,OK,stockist dispute
ASPACT00000023,2025-03-01,ASPDLR000568,National Irfan Mart,Scheme follow-up,SR038,AP-East-6,No order,27-Mar-25,45,outside beat,secondary sale low
ASPACT00000024,2024-12-31,ASPDLR000437,Royal Sowmya Traders,Contractor meet,SR060,TS-Central-1,Payment follow-up,2025-01-05,NA,same gps as prior visit,shifted to competitor
ASPACT00000025,2025-08-09,ASPDLR000968,City Deepak Mart,Scheme follow-up,SR075,TS-South-6,Stock checked,2025-08-26,45,outside beat,asked scheme support
ASPACT00000026,20/06/2024,ASPDLR000566,City Suresh Distributors,Colour World check,SR150,AP-West-3,No order,,60,outside beat,secondary sale low
