ledger_id,activity_date,contractor_id,mapped_dealer_id,activity_type,points_delta,bill_value,approval_status,note
ASPCONLED00000001,15-May-24,ASPCON003570,ASPDLR000940,complaint assist,851,84985.93,pending,dealer mismatch
ASPCONLED00000002,2025-07-31,ASPCON001155,ASPDLR000616,bill upload,-28,36271.08,rejected,site closed
ASPCONLED00000003,2025-07-19,ASPCON002137,ASPDLR000900,complaint assist,319,22318.48,rejected,bill image unclear
ASPCONLED00000004,05-Apr-25,ASPCON001354,ASPDLR000915,complaint assist,1912,13655.67,duplicate,bill image unclear
ASPCONLED00000005,24/09/2025,ASPCON000286,ASPDLR000480,complaint assist,-415,73617.81,rejected,dealer mismatch
ASPCONLED00000006,2024-05-31,ASPCON002829,ASPDLR000396,complaint assist,317,4689.14,rejected,
ASPCONLED00000007,06/11/2024,ASPCON004651,ASPDLR000100,site lead,1676,72990.80,duplicate,dealer mismatch
ASPCONLED00000008,02/16/2025,ASPCON004151,ASPDLR000192,complaint assist,-428,14329.76,manual,
ASPCONLED00000009,2025-07-10,ASPCON002376,ASPDLR000605,points redemption,1209,45199.17,rejected,redeemed gift
ASPCONLED00000010,2025-03-30,ASPCON001336,ASPDLR000689,points redemption,829,37868.28,pending,
ASPCONLED00000011,2024-06-19,ASPCON004545,ASPDLR000923,bill upload,1364,33868.78,duplicate,
ASPCONLED00000012,2024-05-03,ASPCON004646,ASPDLR000807,bill upload,-163,36523.41,manual,dealer mismatch
ASPCONLED00000013,09/04/2025,ASPCON002241,ASPDLR000735,site lead,409,7030.01,manual,bill image unclear
ASPCONLED00000014,2025-12-15,ASPCON001145,ASPDLR000052,site lead,1085,55616.11,duplicate,dealer mismatch
ASPCONLED00000015,06/11/2024,ASPCON002020,ASPDLR000314,points redemption,49,41085.16,approved,site closed
ASPCONLED00000016,26/05/2025,ASPCON002162,ASPDLR000352,points redemption,1993,55456.63,approved,site closed
ASPCONLED00000017,09/01/2026,ASPCON001083,ASPDLR000874,points redemption,1988,17364.86,pending,bill image unclear
ASPCONLED00000018,2025-12-13,ASPCON003913,ASPDLR000421,bill upload,1486,25929.66,rejected,dealer mismatch
ASPCONLED00000019,2025-05-17,ASPCON002161,ASPDLR000459,points redemption,1063,41630.82,approved,redeemed gift
ASPCONLED00000020,2026-01-19,ASPCON001019,ASPDLR000027,bill upload,2339,12560.87,manual,redeemed gift
ASPCONLED00000021,13-Mar-26,ASPCON002439,ASPDLR000274,points redemption,-253,34669.24,approved,dealer mismatch
ASPCONLED00000022,19/06/2024,ASPCON001526,ASPDLR000173,site lead,2305,86311.69,manual,bill image unclear
ASPCONLED00000023,2026-03-26,ASPCON004180,ASPDLR000185,site lead,1648,37058.79,approved,bill image unclear
ASPCONLED00000024,2024-05-06,ASPCON000410,ASPDLR000100,points redemption,582,13049.70,manual,dealer mismatch
ASPCONLED00000025,22/07/2024,ASPCON003055,ASPDLR000450,bill upload,139,32840.62,manual,redeemed gift
ASPCONLED00000026,2024-12-20,ASPCON002981,ASPDLR000941,site lead,2340,76238.77,rejected,
ASPCONLED00000027,01/04/2024,ASPCON004663,ASPDLR000207,points redemption,-394,45051.20,approved,dealer mismatch
ASPCONLED00000028,2025-08-17,ASPCON000511,ASPDLR000275,points redemption,2462,54027.79,approved,bill image unclear
ASPCONLED00000029,2025-03-05,ASPCON001430,ASPDLR000939,points redemption,1296,67757.15,approved,bill image unclear
ASPCONLED00000030,2025-09-04,ASPCON004625,ASPDLR000149,points redemption,1982,27365.63,approved,
ASPCONLED00000031,2025-05-05,ASPCON001024,ASPDLR000534,training,1493,27994.70,manual,
ASPCONLED00000032,2024-11-28,ASPCON004095,ASPDLR000651,complaint assist,1693,50525.75,duplicate,
ASPCONLED00000033,25-Dec-24,ASPCON003697,ASPDLR000899,site lead,466,75254.36,rejected,
ASPCONLED00000034,21/02/2025,ASPCON000379,ASPDLR000865,complaint assist,2412,21254.42,rejected,bill image unclear
ASPCONLED00000035,2025-03-17,ASPCON000530,ASPDLR000984,complaint assist,-427,73370.66,pending,redeemed gift
ASPCONLED00000036,2025-06-06,ASPCON002442,ASPDLR000283,points redemption,1739,38699.93,rejected,site closed
ASPCONLED00000037,2025-12-03,ASPCON001011,ASPDLR000537,bill upload,2479,6304.47,rejected,site closed
ASPCONLED00000038,2025-01-11,ASPCON004279,ASPDLR000410,site lead,-469,54149.02,rejected,dealer mismatch
ASPCONLED00000039,2025-07-22,ASPCON003738,ASPDLR000241,bill upload,2019,9625.76,approved,
ASPCONLED00000040,2025-04-02,ASPCON003081,ASPDLR000211,site lead,1145,22123.46,rejected,site closed
ASPCONLED00000041,2025-07-06,ASPCON002228,ASPDLR000245,site lead,1886,66873.39,pending,
ASPCONLED00000042,2024-07-15,ASPCON004660,ASPDLR000614,complaint assist,1098,2557.81,duplicate,
ASPCONLED00000043,2024-08-29,ASPCON000924,ASPDLR000881,bill upload,1853,15574.67,pending,
ASPCONLED00000044,28-Dec-24,ASPCON001567,ASPDLR000389,site lead,252,12038.20,rejected,
ASPCONLED00000045,2024-04-02,ASPCON004128,ASPDLR000021,bill upload,1010,34815.23,rejected,dealer mismatch
ASPCONLED00000046,2025-06-03,ASPCON001860,ASPDLR000752,bill upload,688,80007.51,manual,bill image unclear
ASPCONLED00000047,28-May-25,ASPCON001875,ASPDLR000744,complaint assist,-143,32405.91,duplicate,
ASPCONLED00000048,05-Mar-25,ASPCON001456,ASPDLR000850,training,1678,83347.62,manual,
ASPCONLED00000049,2025-01-16,ASPCON002817,ASPDLR000106,site lead,131,59954.39,pending,site closed
ASPCONLED00000050,2024-04-11,ASPCON004446,ASPDLR000669,points redemption,-168,43295.14,rejected,redeemed gift
ASPCONLED00000051,2025-07-05,ASPCON004914,ASPDLR000700,points redemption,1434,8956.04,duplicate,dealer mismatch
ASPCONLED00000052,02/23/2026,ASPCON003988,ASPDLR000854,site lead,868,75106.71,duplicate,
ASPCONLED00000053,03/07/2024,ASPCON000573,ASPDLR000002,complaint assist,2376,21047.57,duplicate,bill image unclear
ASPCONLED00000054,04/06/2025,ASPCON000631,ASPDLR000397,complaint assist,88,88679.74,duplicate,dealer mismatch
ASPCONLED00000055,2024-11-08,ASPCON002366,ASPDLR000436,bill upload,2072,72456.35,rejected,bill image unclear
ASPCONLED00000056,2024-08-17,ASPCON002326,ASPDLR000920,points redemption,738,43099.85,duplicate,dealer mismatch
ASPCONLED00000057,2024-06-18,ASPCON002249,ASPDLR000976,training,-195,42752.17,approved,
ASPCONLED00000058,2025-04-17,ASPCON000883,ASPDLR000682,bill upload,734,71224.70,rejected,redeemed gift
ASPCONLED00000059,2026-03-24,ASPCON004058,ASPDLR000199,training,1703,17195.84,rejected,
ASPCONLED00000060,2025-07-18,ASPCON004228,ASPDLR000764,site lead,-128,42793.01,approved,dealer mismatch
ASPCONLED00000061,15-Aug-24,ASPCON004147,ASPDLR000093,points redemption,1151,25216.00,pending,site closed
ASPCONLED00000062,11/10/2024,ASPCON000592,ASPDLR000421,complaint assist,1056,58302.40,rejected,redeemed gift
ASPCONLED00000063,2024-10-09,ASPCON003908,ASPDLR000930,bill upload,581,81312.12,approved,bill image unclear
ASPCONLED00000064,2025-10-21,ASPCON003022,ASPDLR000054,training,2428,76600.58,duplicate,site closed
ASPCONLED00000065,2025-05-13,ASPCON002543,ASPDLR000410,training,1553,37601.65,rejected,
ASPCONLED00000066,2026-02-05,ASPCON002328,ASPDLR000315,site lead,461,81123.99,duplicate,site closed
ASPCONLED00000067,2025-01-20,ASPCON000368,ASPDLR000015,complaint assist,787,86013.05,manual,
ASPCONLED00000068,2026-02-08,ASPCON003192,ASPDLR000311,training,2156,83083.86,duplicate,bill image unclear
ASPCONLED00000069,22-Jan-26,ASPCON000847,ASPDLR000487,complaint assist,-219,68041.78,manual,bill image unclear
ASPCONLED00000070,2025-07-09,ASPCON001283,ASPDLR000746,training,2249,33554.42,pending,bill image unclear
ASPCONLED00000071,2026-01-23,ASPCON000322,ASPDLR000379,points redemption,1798,2644.31,duplicate,site closed
ASPCONLED00000072,2024-08-24,ASPCON003858,ASPDLR000803,bill upload,1952,31119.00,rejected,site closed
ASPCONLED00000073,31/12/2025,ASPCON001576,ASPDLR000359,bill upload,539,64975.87,approved,site closed
ASPCONLED00000074,10/01/2024,ASPCON001194,ASPDLR000933,site lead,1004,81026.52,duplicate,bill image unclear
