customer_id,customer_name,as_of_date,credit_limit,outstanding_amount,not_due_amount,days_1_30,days_31_60,days_61_90,days_90_plus,last_payment_date,block_flag,collector_note
ASPDLR000001,Sree Revathi Services,2026-03-31,500000,645455.41,443379.22,59604.89,49146.23,19473.74,77110.47,2026-02-12,N,
ASPDLR000002,Royal Jagan Paints,2026-03-31,250000,55211.58,40685.07,2531.81,3598.73,2830.64,5274.37,09/25/2025,N,promised next week
ASPDLR000003,Lucky Karthik Chemicals,2026-03-31,1200000,965502.82,532843.02,68974.05,121626.13,68659.95,103891.86,2025-08-05,Y,cheque bounce
ASPDLR000004,Sri Venkatesh Paints,31/03/2026,3500000,2867787.51,2723420.76,28762.08,42501.80,11046.41,50178.68,2026-01-03,N,limit increase requested
ASPDLR000005,MURUGAN MANOJ PAINTS,2026-03-31,5000000,5503526.44,1421736.63,680937.73,1112705.25,604044.23,1401250.73,2025-12-04,N,
ASPDLR000006,Royal Lokesh Traders,2026-03-31,5000000,2463695.92,1479590.22,282972.55,299985.48,69157.92,75175.16,2025-11-09,N,promised next week
ASPDLR000007,Ganesh Kavya Chemicals,2026-03-31,750000,538090.61,416484.36,42029.25,27515.69,18289.04,37545.33,2025-07-20,Y,cheque bounce
ASPDLR000008,Balaji Suresh Traders,03/31/2026,7500000,1733219.74,424654.84,342003.43,354589.18,92644.07,296889.79,2025-08-06,N,owner not reachable
ASPDLR000009,National Farida Associates,31/03/2026,250000,207488.26,114877.01,24690.46,30267.13,17408.11,20426.61,2026-01-29,N,promised next week
ASPDLR000010,Sree Sanjay Tyres,31/03/2026,7500000,5363506.50,3664311.85,517788.16,382569.34,286836.64,697353.94,2026-02-08,N,
ASPDLR000011,Sree Prakash Services,2026-03-31,500000,66231.31,30454.25,11847.70,5214.85,2475.05,9640.01,2026-03-17,Y,claims adjusted
ASPDLR000012,National Chandra Hardware,2026-03-31,3500000,1082571.75,833621.39,68502.59,30095.58,56798.31,42398.27,2026-02-15,Y,
ASPDLR000013,Metro Sowmya Enterprises,2026-03-31,7500000,4731914.45,3316783.07,358026.67,375689.37,318279.59,392563.77,01/27/2026,N,owner not reachable
ASPDLR000014,Sri Sanjay Stores,2026-03-31,7500000,2235816.34,1224773.82,161125.10,292414.76,239565.89,83969.20,2026-02-08,N,owner not reachable
ASPDLR000015,Prime Karthik Paints,2026-03-31,3500000,1977287.28,1403830.69,104622.33,153235.95,62236.76,157661.15,2026-03-16,N,
ASPDLR000016,Metro Ganesh Paints,31/03/2026,1200000,725526.09,408436.04,55354.85,41982.66,21120.20,94064.52,16/07/2025,N,promised next week
ASPDLR000017,National Naveen Paints,2026-03-31,250000,98622.03,32335.80,10425.07,19552.68,16192.97,21306.46,2026-03-16,N,limit increase requested
ASPDLR000018,Lucky Chandra Sales,2026-03-31,500000,74638.91,68273.61,1732.10,995.06,1082.41,289.27,2026-03-05,N,
ASPDLR000019,Star Lakshmi Hardware,03/31/2026,7500000,4433369.75,2057336.01,804891.36,758118.62,471059.27,935654.46,2025-12-06,Y,cheque bounce
ASPDLR000020,BALAJI LOKESH AGENCIES,2026-03-31,750000,617284.32,528025.37,16495.49,23894.54,7958.29,26283.27,2025-08-12,N,claims adjusted
ASPDLR000021,Kaveri Prakash Paints,2026-03-31,750000,772923.72,603873.10,48099.75,45747.48,22990.08,25592.20,2025-07-24,Y,promised next week
ASPDLR000022,Vijaya Lakshmi Paints,2026-03-31,2000000,526787.76,267739.60,47348.20,67371.58,15025.03,32863.51,08/24/2025,N,limit increase requested
ASPDLR000023,Royal Manoj Services,2026-03-31,2000000,560389.21,151297.25,142518.07,98478.28,76969.15,134598.57,2025-12-18,N,claims adjusted
ASPDLR000024,Metro Sanjay Tyres,2026-03-31,2000000,2085143.74,1888510.24,54299.50,66751.58,47026.73,9696.94,2026-03-08,Y,limit increase requested
ASPDLR000025,Ganesh Manoj Fertilisers,2026-03-31,1200000,1037432.52,935838.62,16113.46,17633.04,11250.79,15963.86,2025-08-11,Y,owner not reachable
ASPDLR000026,Vijaya Suresh Paints,2026-03-31,3500000,342355.22,195193.33,37095.71,36029.74,24484.15,55258.20,23/08/2025,N,cheque bounce
ASPDLR000027,Prime Chandra Paints,31-Mar-26,5000000,2033523.65,1840029.18,42703.13,25321.89,26951.99,70441.87,2025-10-19,N,owner not reachable
ASPDLR000028,Shree Ganesh Fertilisers,2026-03-31,5000000,3638963.98,2018013.20,552445.89,510742.44,255934.28,708967.13,09/01/2025,Y,owner not reachable
ASPDLR000029,Modern Prakash Corporation,2026-03-31,500000,389027.50,21715.37,95902.62,126690.52,28972.34,106222.16,22/11/2025,N,claims adjusted
ASPDLR000030,Star Hari Depot,2026-03-31,2000000,224607.35,177123.63,10425.86,7286.88,5306.59,3103.63,2025-07-21,N,cheque bounce
ASPDLR000031,LUCKY REVATHI CHEMICALS,2026-03-31,2000000,700050.47,394290.58,59653.43,93266.72,30020.93,30508.53,2026-01-21,Y,limit increase requested
ASPDLR000032,National Revathi Paints,2026-03-31,750000,149188.18,73491.63,15005.43,16625.09,12919.68,3446.37,2025-10-01,N,cheque bounce
ASPDLR000033,Sree Sowmya Paints,2026-03-31,3500000,2284810.66,1793453.18,91900.03,159502.11,96254.84,28489.54,2026-03-14,N,
ASPDLR000034,Kaveri Manoj Paints,2026-03-31,3500000,1915803.31,1711525.65,62210.81,61612.66,10862.49,34764.79,2026-03-08,N,
ASPDLR000035,New Karthik Fertilisers,03/31/2026,250000,331241.27,238517.01,19801.00,18716.21,19916.63,25179.13,2025-12-18,N,claims adjusted
ASPDLR000036,Balaji Rafiq Mart,2026-03-31,250000,266752.55,213639.14,14810.46,18028.76,12874.59,9206.69,28-Feb-26,Y,owner not reachable
ASPDLR000037,Balaji Sanjay Hardware,03/31/2026,1200000,1531005.97,801577.85,211611.12,134533.30,181915.10,112175.44,2026-03-17,N,cheque bounce
ASPDLR000038,Shree Geetha Paints,2026-03-31,750000,799051.88,699941.23,27108.37,31268.60,12364.64,42117.43,03/04/2026,N,promised next week
ASPDLR000039,Ganesh Sowmya Chemicals,2026-03-31,750000,724562.44,395206.40,89271.89,111910.60,34393.44,130217.29,07/13/2025,N,cheque bounce
ASPDLR000040,City Geetha Tyres,2026-03-31,5000000,2443140.99,697705.29,296603.18,310279.79,191361.96,478214.93,2025-11-26,N,claims adjusted
ASPDLR000041,National Naveen Enterprises,2026-03-31,3500000,4541541.25,2433038.76,724950.15,516573.24,148214.44,793966.23,02/09/2025,Y,limit increase requested
ASPDLR000042,Royal Senthil Services,2026-03-31,7500000,8833744.00,5032600.65,1081989.25,586487.73,677213.04,511652.59,2025-11-06,N,claims adjusted
ASPDLR000043,City Priya Paints,31/03/2026,2000000,391687.79,229105.76,25865.83,43083.48,36955.75,15173.94,2025-11-21,N,cheque bounce
ASPDLR000044,Vijaya Geetha Paints,03/31/2026,3500000,3559628.04,2737370.10,265086.10,168373.52,190313.94,271835.64,12/22/2025,Y,promised next week
ASPDLR000045,Balaji Senthil Mart,2026-03-31,3500000,1162218.03,168547.09,335606.67,323833.03,50534.08,438863.69,2025-11-12,Y,
ASPDLR000046,Mahalakshmi Venkatesh Mart,2026-03-31,250000,214271.91,151805.64,15493.50,19951.60,7166.63,3173.37,2026-03-03,Y,limit increase requested
ASPDLR000047,Star Prakash Chemicals,2026-03-31,250000,215656.64,131048.38,27034.76,18696.45,16181.40,35264.20,2025-10-07,N,limit increase requested
ASPDLR000048,Shree Jagan Mart,31/03/2026,1200000,1095081.22,673088.60,90923.95,144991.12,27197.80,180174.67,2025-09-17,N,limit increase requested
ASPDLR000049,Prime Geetha Hardware Pvt,2026-03-31,250000,100463.60,89492.96,1925.27,3185.19,1732.40,2976.19,2025-07-12,N,
ASPDLR000050,Sri Farida Stores,03/31/2026,250000,269122.75,201347.77,19965.30,20598.04,12097.26,17622.77,2025-07-25,N,promised next week
ASPDLR000051,Mahalakshmi Karthik Stores,2026-03-31,3500000,2504283.97,1129093.13,290780.02,336270.26,264718.98,61931.30,2025-10-09,N,owner not reachable
ASPDLR000052,Star Sanjay Paints,2026-03-31,1200000,515502.49,258921.59,54128.27,49762.33,62926.33,46069.76,2026-02-05,N,promised next week
ASPDLR000053,City Lokesh Depot,2026-03-31,3500000,1926059.61,514391.30,288314.81,258287.62,97552.96,255626.69,2025-12-19,N,owner not reachable
ASPDLR000054,United Yusuf Mart,31-Mar-26,250000,190462.47,114848.18,18311.92,13016.65,9862.45,9113.92,2025-08-25,N,owner not reachable
ASPDLR000055,Sree Prakash Paints,2026-03-31,750000,165445.54,123174.29,12270.39,5239.19,4956.12,3718.95,12/16/2025,N,
ASPDLR000056,Ganesh Ganesh Enterprises,2026-03-31,7500000,6556375.53,4199983.10,422542.84,378602.36,452404.39,940253.86,28-Feb-26,N,limit increase requested
ASPDLR000057,Murugan Naveen Associates,2026-03-31,2000000,2138411.91,1472496.18,132894.06,196590.40,87751.61,77822.79,2025-12-07,N,
ASPDLR000058,Vijaya Lokesh Agencies,2026-03-31,1200000,180734.45,98806.91,25458.12,27876.47,17312.31,2604.30,2026-02-24,Y,cheque bounce
ASPDLR000059,Murugan Sowmya Chemicals,2026-03-31,7500000,8339341.74,1910786.24,1661346.72,2095692.45,394838.92,2510593.66,2026-01-09,N,cheque bounce
ASPDLR000060,New Sanjay Paints,03/31/2026,7500000,6491116.65,3083674.68,719966.20,976034.54,463814.89,1180661.67,2025-09-08,N,limit increase requested
ASPDLR000061,Star Revathi Services,2026-03-31,7500000,7146824.66,5664323.13,388518.27,428671.17,246796.03,214563.25,07/10/2025,Y,cheque bounce
ASPDLR000062,Shree Deepak Enterprises,31/03/2026,500000,598899.41,335654.49,78437.28,58161.82,56111.38,98691.94,2025-12-23,N,cheque bounce
ASPDLR000063,Metro Prakash Stores,2026-03-31,3500000,3657696.10,2878626.16,259325.91,217718.38,118366.56,19672.73,2026-03-20,N,cheque bounce
ASPDLR000064,ROYAL ARUN PAINTS,2026-03-31,3500000,2180406.88,1623646.29,106076.95,90710.35,64137.08,217016.63,2025-09-28,N,claims adjusted
ASPDLR000065,Ganesh Geetha Fertilisers,2026-03-31,750000,703245.16,221373.34,90114.14,122470.97,39614.65,192109.28,23-Dec-25,N,promised next week
ASPDLR000066,New Naveen Traders,2026-03-31,250000,75669.22,56891.72,2878.58,3836.07,4623.39,3240.91,21-Sep-25,Y,owner not reachable
ASPDLR000067,Kaveri Kavya Paints,2026-03-31,750000,650123.34,220905.82,85312.43,132984.82,77342.05,100705.65,26/11/2025,Y,owner not reachable
ASPDLR000068,City Senthil Depot,2026-03-31,3500000,3894437.12,2423895.77,265635.00,300038.95,88119.86,464383.26,2025-09-06,N,limit increase requested
ASPDLR000069,Prime Lokesh Agencies,2026-03-31,250000,55362.48,41115.92,2825.94,3294.43,1199.25,1053.58,2026-02-06,N,limit increase requested
ASPDLR000070,Metro Geetha Agencies,2026-03-31,250000,85187.36,73733.15,2402.57,2095.54,665.02,1962.21,2026-03-29,N,cheque bounce
ASPDLR000071,Kaveri Sanjay Paints,2026-03-31,5000000,4775093.45,3310977.93,494886.44,188650.08,243681.94,301468.31,2026-01-22,N,owner not reachable
ASPDLR000072,Lucky Jagan Distributors,2026-03-31,250000,155826.44,117868.14,9124.90,12728.09,9026.32,9971.69,2025-11-01,N,claims adjusted
ASPDLR000073,Star Prakash Corporation,2026-03-31,500000,253279.85,134965.59,28580.62,22718.62,17585.16,17987.56,2026-01-28,Y,owner not reachable
ASPDLR000074,National Anand Distributors,2026-03-31,5000000,2972425.32,1829322.42,373147.60,369563.45,87184.07,133481.68,2026-02-12,N,limit increase requested
ASPDLR000075,Sree Bala Paints,31/03/2026,5000000,682028.51,343702.74,105746.50,110338.45,57001.71,86193.92,2026-03-08,Y,owner not reachable
ASPDLR000076,Lucky Chandra Stores,2026-03-31,250000,62710.87,57122.50,876.06,1223.48,1214.85,1322.62,2025-11-13,N,promised next week
ASPDLR000077,Vijaya Manoj Enterprises,31/03/2026,1200000,1296163.77,840452.54,133226.05,107426.25,61179.99,106050.22,2025-07-06,N,owner not reachable
ASPDLR000078,Metro Chandra Paints Pvt,2026-03-31,500000,128693.70,110228.05,4838.26,2774.93,1400.89,4432.66,2025-10-07,N,claims adjusted
ASPDLR000079,Vijaya Hari Traders,2026-03-31,500000,415128.22,220061.50,48897.57,59066.27,18107.32,62904.32,31/12/2025,N,promised next week
ASPDLR000080,Prime Prakash Paints,31/03/2026,3500000,2038217.58,1271206.04,222004.40,197199.08,142063.72,268118.31,2026-03-24,N,promised next week
ASPDLR000081,Lucky Anand Paints,2026-03-31,750000,934100.77,796241.88,27286.90,26635.92,19565.85,44880.66,2026-01-30,Y,limit increase requested
ASPDLR000082,Metro Hari Paints,2026-03-31,5000000,6338358.48,1870485.63,1241907.97,1063073.09,459392.90,462056.00,2025-08-12,Y,
ASPDLR000083,Mahalakshmi Sowmya Agro,2026-03-31,2000000,1862977.89,1492449.54,66386.64,111413.37,68007.85,28973.57,2026-01-22,N,cheque bounce
ASPDLR000084,Ganesh Sowmya Paints,31/03/2026,5000000,5646253.05,3771331.67,607019.75,655464.49,204852.79,838796.68,19/01/2026,Y,limit increase requested
ASPDLR000085,Star Sanjay Services,2026-03-31,1200000,784726.38,390525.35,114957.27,81144.46,50517.84,81943.71,2025-07-04,N,
ASPDLR000086,Ganesh Jagan Agro,2026-03-31,2000000,2207686.09,1015041.01,398530.86,371213.69,180821.37,507362.10,2025-12-27,Y,limit increase requested
ASPDLR000087,Lucky Rafiq Paints,2026-03-31,750000,737096.31,547826.91,64452.40,42897.84,22438.11,55208.84,10/07/2025,N,claims adjusted
ASPDLR000088,New Suresh Fertilisers,2026-03-31,5000000,5101143.69,3040852.36,466532.19,540546.02,227501.93,305133.72,23-Dec-25,N,
ASPDLR000089,New Bala Paints,03/31/2026,2000000,589763.51,428677.36,51789.83,49023.55,27699.74,69013.16,2026-02-10,N,
ASPDLR000090,United Ganesh Paints,2026-03-31,500000,654257.36,607392.52,9320.95,6431.78,9291.96,10187.54,2025-12-29,N,claims adjusted
ASPDLR000091,Metro Deepak Depot,2026-03-31,1200000,1462909.95,430472.80,311514.64,353031.09,109103.87,57613.82,2025-11-09,N,cheque bounce
ASPDLR000092,Mahalakshmi Ganesh Paints,2026-03-31,500000,49435.99,29265.44,3950.69,4499.01,4100.13,7544.78,2025-07-11,Y,claims adjusted
ASPDLR000093,Metro Senthil Paints,2026-03-31,5000000,2193415.22,1666068.00,148185.82,121389.03,64493.70,199199.11,2025-08-04,N,owner not reachable
ASPDLR000094,Sri Priya Paints,2026-03-31,7500000,3990288.62,2615514.19,469976.13,307060.49,137573.94,560104.08,2025-12-19,N,
ASPDLR000095,Lucky Lokesh Sales,2026-03-31,1200000,1249910.20,593534.55,221570.60,90103.88,97379.65,285420.70,2025-11-30,Y,limit increase requested
ASPDLR000096,Metro Hari Paints,2026-03-31,500000,428945.35,183334.97,66018.09,67765.02,44596.46,94790.53,2026-03-20,N,limit increase requested
ASPDLR000097,Metro Bala Paints,31/03/2026,250000,158557.64,136118.78,3825.10,5242.23,2084.88,4107.11,15/11/2025,N,claims adjusted
ASPDLR000098,Murugan Rafiq Chemicals,2026-03-31,3500000,4625476.21,3324019.48,257571.00,173088.21,90915.68,446118.31,2025-07-07,N,cheque bounce
ASPDLR000099,Vijaya Venkatesh Tyres,2026-03-31,250000,215400.84,167676.17,9494.16,6644.90,3308.44,4721.65,2025-09-09,N,
ASPDLR000100,Lucky Venkatesh Services,2026-03-31,250000,217265.30,115771.36,31949.95,29548.46,19338.54,9314.25,2025-07-21,Y,cheque bounce
ASPDLR000101,Sri Farida Paints,2026-03-31,500000,495746.91,268961.44,58156.08,77127.39,16040.19,15620.96,15/12/2025,Y,cheque bounce
ASPDLR000102,United Kavya Paints,2026-03-31,2000000,116141.38,84998.75,6239.48,4419.61,3501.95,8386.66,12/02/2026,N,cheque bounce
ASPDLR000103,Lucky Meena Paints,2026-03-31,1200000,1388074.15,815213.54,104219.32,199950.52,30020.18,58862.75,2025-11-30,N,
ASPDLR000104,Sree Bala Depot,2026-03-31,500000,316411.83,86435.91,40443.76,44856.10,32463.36,102008.59,2025-09-21,Y,claims adjusted
ASPDLR000105,Lucky Naveen Depot,31/03/2026,7500000,5127424.17,3725998.17,339376.95,334498.88,346534.97,462905.98,2025-12-12,N,owner not reachable
ASPDLR000106,National Venkatesh Paints,2026-03-31,3500000,1001253.28,198032.07,261091.43,103301.78,179512.60,316239.34,14/11/2025,Y,owner not reachable
ASPDLR000107,Murugan Anand Traders,2026-03-31,500000,29796.32,17727.34,3302.68,2529.24,1386.72,3523.77,2025-12-01,Y,claims adjusted
ASPDLR000108,Metro Lokesh Paints,2026-03-31,1200000,1352698.05,791106.77,157547.48,192573.98,90116.38,212628.49,2025-11-16,N,owner not reachable
ASPDLR000109,Lucky Prakash Paints,03/31/2026,750000,62346.50,29846.40,6015.13,4028.74,6360.24,3501.28,2025-07-31,Y,cheque bounce
ASPDLR000110,Star Chandra Paints,2026-03-31,1200000,1592377.49,1164615.88,133759.89,65690.07,27960.18,117856.79,2026-01-30,N,
ASPDLR000111,Royal Suresh Tyres,2026-03-31,5000000,6137408.62,3833308.91,713600.56,445674.83,178183.26,602462.56,2025-12-16,N,limit increase requested
ASPDLR000112,New Ganesh Traders,2026-03-31,750000,339274.31,226082.84,27704.70,36649.74,20166.00,11809.57,2025-11-23,Y,owner not reachable
ASPDLR000113,National Lokesh Mart,2026-03-31,500000,26753.65,14125.91,4049.43,3848.06,2409.24,4040.32,11/09/2025,N,cheque bounce
