event_id,event_date,machine_id,dealer_id,colour_code,base_liters,can_count,status,note
ASPTNTEVT00000001,2026-01-09,ASPTINT00448,ASPDLR000836,W001,49.68,8,re-tint,power cut
ASPTNTEVT00000002,2025-02-08,ASPTINT00366,ASPDLR000562,custom,54.18,28,cancelled,shade mismatch
ASPTNTEVT00000003,2025-06-29,ASPTINT00050,ASPDLR000256,missing,37.75,24,dispensed,
ASPTNTEVT00000004,2025-07-06,ASPTINT00512,ASPDLR000692,R156,29.69,29,dispensed,power cut
ASPTNTEVT00000005,2025-04-25,ASPTINT00138,ASPDLR000780,custom,52.64,18,dispensed,shade mismatch
ASPTNTEVT00000006,2024-12-02,ASPTINT00306,ASPDLR000436,custom,2.14,28,manual formula,manual entry
ASPTNTEVT00000007,2025-01-08,ASPTINT00124,ASPDLR000101,Y076,10.51,34,manual formula,shade mismatch
ASPTNTEVT00000008,25/11/2024,ASPTINT00278,ASPDLR000440,L124,21.15,5,manual formula,
ASPTNTEVT00000009,2024-09-23,ASPTINT00580,ASPDLR000830,W001,30.74,2,re-tint,shade mismatch
ASPTNTEVT00000010,2024-06-05,ASPTINT00592,ASPDLR000021,N093,24.21,31,re-tint,manual entry
ASPTNTEVT00000011,08/09/2024,ASPTINT00639,ASPDLR000992,W001,49.02,3,manual formula,manual entry
ASPTNTEVT00000012,2024-07-19,ASPTINT00086,ASPDLR000626,W001,42.96,26,cancelled,machine down
ASPTNTEVT00000013,2024-07-11,ASPTINT00649,ASPDLR000854,custom,33.84,35,re-tint,
ASPTNTEVT00000014,2025-11-03,ASPTINT00427,ASPDLR000254,L124,57.73,2,dispensed,machine down
ASPTNTEVT00000015,24/02/2026,ASPTINT00292,ASPDLR000010,L124,5.83,27,manual formula,
ASPTNTEVT00000016,2024-05-22,ASPTINT00049,ASPDLR000432,R156,20.90,22,manual formula,
ASPTNTEVT00000017,2025-04-28,ASPTINT00061,ASPDLR000947,W001,47.64,18,service error,machine down
ASPTNTEVT00000018,09/07/2024,ASPTINT00641,ASPDLR000308,R156,49.59,5,service error,shade mismatch
ASPTNTEVT00000019,17/06/2025,ASPTINT00336,ASPDLR000212,W001,20.47,6,dispensed,manual entry
ASPTNTEVT00000020,16/03/2026,ASPTINT00368,ASPDLR000559,W001,58.75,21,cancelled,
ASPTNTEVT00000021,04/23/2024,ASPTINT00484,ASPDLR000107,N093,48.28,2,dispensed,machine down
ASPTNTEVT00000022,2025-09-14,ASPTINT00260,ASPDLR000186,Y076,49.50,19,dispensed,shade mismatch
ASPTNTEVT00000023,2025-05-05,ASPTINT00425,ASPDLR000096,custom,31.57,16,dispensed,machine down
ASPTNTEVT00000024,2025-10-29,ASPTINT00248,ASPDLR000592,N093,30.32,26,dispensed,power cut
ASPTNTEVT00000025,2025-06-06,ASPTINT00505,ASPDLR000450,R156,56.61,35,manual formula,power cut
ASPTNTEVT00000026,2026-01-03,ASPTINT00173,ASPDLR000389,missing,57.62,15,manual formula,
ASPTNTEVT00000027,10/31/2024,ASPTINT00482,ASPDLR000125,custom,20.23,23,re-tint,shade mismatch
ASPTNTEVT00000028,2024-09-17,ASPTINT00182,ASPDLR000415,N093,14.40,23,manual formula,machine down
ASPTNTEVT00000029,2024-07-15,ASPTINT00307,ASPDLR000196,missing,3.20,30,service error,
ASPTNTEVT00000030,01-Mar-26,ASPTINT00263,ASPDLR000527,R156,45.59,25,cancelled,machine down
ASPTNTEVT00000031,02/03/2025,ASPTINT00165,ASPDLR000286,L124,58.49,2,manual formula,power cut
ASPTNTEVT00000032,06-Sep-24,ASPTINT00474,ASPDLR000360,W001,50.94,31,re-tint,power cut
ASPTNTEVT00000033,2024-10-09,ASPTINT00029,ASPDLR000172,N093,50.66,11,dispensed,
ASPTNTEVT00000034,2024-10-05,ASPTINT00388,ASPDLR000762,Y076,32.46,5,cancelled,
ASPTNTEVT00000035,12/12/2024,ASPTINT00273,ASPDLR000247,N093,17.64,16,re-tint,manual entry
ASPTNTEVT00000036,2025-12-12,ASPTINT00033,ASPDLR000501,custom,33.01,34,cancelled,power cut
ASPTNTEVT00000037,2024-10-04,ASPTINT00463,ASPDLR000691,R156,47.73,1,cancelled,shade mismatch
ASPTNTEVT00000038,20/04/2024,ASPTINT00235,ASPDLR000817,N093,59.07,34,service error,shade mismatch
ASPTNTEVT00000039,2025-05-22,ASPTINT00023,ASPDLR000357,L124,45.37,23,cancelled,
ASPTNTEVT00000040,2024-04-08,ASPTINT00312,ASPDLR000379,missing,7.25,29,cancelled,manual entry
ASPTNTEVT00000041,2024-12-15,ASPTINT00078,ASPDLR000014,custom,19.20,30,dispensed,shade mismatch
ASPTNTEVT00000042,2024-07-15,ASPTINT00515,ASPDLR000336,L124,54.81,4,manual formula,machine down
ASPTNTEVT00000043,10-Jan-26,ASPTINT00209,ASPDLR000636,N093,26.81,24,re-tint,manual entry
ASPTNTEVT00000044,2026-02-12,ASPTINT00554,ASPDLR000423,Y076,46.69,16,cancelled,shade mismatch
ASPTNTEVT00000045,2025-01-30,ASPTINT00062,ASPDLR000112,Y076,23.94,20,manual formula,machine down
ASPTNTEVT00000046,19/03/2026,ASPTINT00458,ASPDLR000439,missing,47.32,16,manual formula,
ASPTNTEVT00000047,2024-05-26,ASPTINT00393,ASPDLR000651,R156,30.51,5,dispensed,
ASPTNTEVT00000048,2026-02-20,ASPTINT00442,ASPDLR000982,R156,47.84,22,service error,power cut
ASPTNTEVT00000049,2024-09-06,ASPTINT00362,ASPDLR000620,R156,17.15,31,dispensed,machine down
ASPTNTEVT00000050,2025-08-31,ASPTINT00408,ASPDLR000693,Y076,58.50,6,dispensed,power cut
ASPTNTEVT00000051,12-Apr-25,ASPTINT00577,ASPDLR000101,N093,24.45,27,manual formula,shade mismatch
ASPTNTEVT00000052,2025-05-13,ASPTINT00082,ASPDLR000624,custom,58.95,18,service error,shade mismatch
ASPTNTEVT00000053,2025-03-24,ASPTINT00031,ASPDLR000742,missing,36.66,21,re-tint,shade mismatch
ASPTNTEVT00000054,29/07/2025,ASPTINT00220,ASPDLR000518,Y076,14.00,3,service error,
ASPTNTEVT00000055,2024-04-04,ASPTINT00159,ASPDLR000773,N093,14.10,4,service error,manual entry
ASPTNTEVT00000056,2024-04-06,ASPTINT00603,ASPDLR000791,R156,40.24,20,dispensed,machine down
ASPTNTEVT00000057,2025-07-14,ASPTINT00282,ASPDLR000130,custom,3.55,13,cancelled,machine down
ASPTNTEVT00000058,01/06/2024,ASPTINT00540,ASPDLR000615,missing,5.08,21,dispensed,machine down
ASPTNTEVT00000059,12/05/2024,ASPTINT00482,ASPDLR000125,Y076,44.68,34,re-tint,machine down
ASPTNTEVT00000060,2024-07-10,ASPTINT00155,ASPDLR000994,custom,10.40,21,service error,manual entry
ASPTNTEVT00000061,2024-06-19,ASPTINT00079,ASPDLR000714,missing,8.58,12,manual formula,shade mismatch
