machine_id,dealer_id,dealer_name,install_date,machine_model,service_status,last_service_date
ASPTINT00001,ASPDLR000926,Star Yusuf Paints,2015-04-11,CW-Pro,OK,06/27/2024
ASPTINT00002,ASPDLR000804,MODERN ARUN FERTILISERS,05/05/2015,CW-Pro,Down,2025-10-24
ASPTINT00003,ASPDLR000144,VIJAYA PRAKASH ASSOCIATES,2023-04-17,CW-Pro,Old,2024-05-18
ASPTINT00004,ASPDLR000439,National Lakshmi Enterprises Main,01/10/2018,CW-Express,Old,2024-04-19
ASPTINT00005,ASPDLR000539,Vijaya Arun Sales,27/11/2015,BH-Studio,Shifted,2025-10-18
ASPTINT00006,ASPDLR000868,Sri Manoj Paints,2016-06-23,CW-Pro,OK,01/29/2026
ASPTINT00007,ASPDLR000043,City Priya Paints,2025-08-28,CW-Pro,Calibration due,2024-05-03
ASPTINT00008,ASPDLR000749,Mahalakshmi Priya Sales,2017-07-16,BH-Studio,Calibration due,2024-08-11
ASPTINT00009,ASPDLR000348,United Ganesh Paints,2016-05-22,BH-Studio,Calibration due,2024-06-06
ASPTINT00010,ASPDLR000789,Star Manoj Paints,2019-09-13,CW-Express,Down,2025-07-19
ASPTINT00011,ASPDLR000082,Metro Hari Paints,2016-10-20,CW-Express,Calibration due,2024-09-01
ASPTINT00012,ASPDLR000044,Vijaya Geetha Paints,2019-06-18,CW-Classic,OK,03/14/2025
ASPTINT00013,ASPDLR000784,VIJAYA SURESH PAINTS,2020-10-04,CW-Pro,Down,15/08/2024
ASPTINT00014,ASPDLR000253,United Revathi Stores,2025-11-21,BH-Studio,Old,2025-03-24
ASPTINT00015,ASPDLR000424,Kaveri Hari Agencies,2025-09-03,CW-Classic,Shifted,23-Mar-26
ASPTINT00016,ASPDLR000675,Sree Kavya Paints,2018-07-22,CW-Pro,OK,2025-04-21
ASPTINT00017,ASPDLR000790,MURUGAN FARIDA PAINTS,2022-11-30,BH-Studio,Calibration due,18/03/2026
ASPTINT00018,ASPDLR000898,New Lakshmi Agro,2018-02-04,CW-Pro,Down,2025-03-11
ASPTINT00019,ASPDLR000334,National Farida Depot,2022-03-25,BH-Studio,Down,2025-02-04
ASPTINT00020,ASPDLR000791,Shree Arun Paints,06/18/2023,BH-Studio,Shifted,2024-05-29
ASPTINT00021,ASPDLR000478,Mahalakshmi Sanjay Paints,2023-04-29,BH-Studio,Old,2024-12-22
