customer_id,customer_name,as_of_date,credit_limit,outstanding_amount,not_due_amount,days_1_30,days_31_60,days_61_90,days_90_plus,last_payment_date,block_flag,collector_note
CEADLR000001,Modern Yusuf Tyres,2026-03-31,750000,735472.20,219119.47,110419.05,79713.56,106824.32,159437.21,12/26/2025,N,limit increase requested
CEADLR000002,National Hari Hardware,2026-03-31,5000000,3598314.01,1725079.63,476429.70,637979.40,242579.12,199715.49,07/16/2025,Y,
CEADLR000003,Royal Lakshmi Associates,2026-03-31,250000,149514.79,109166.64,13948.97,12171.43,5930.56,1920.32,2025-12-24,Y,cheque bounce
CEADLR000004,Mahalakshmi Meena Associates,2026-03-31,7500000,4934676.95,4505694.26,70838.62,111233.47,40029.24,151206.29,2025-08-17,Y,limit increase requested
CEADLR000005,Vijaya Naveen Agro,2026-03-31,5000000,2235808.26,1043701.86,225269.49,209680.00,266039.29,445107.97,2025-08-22,Y,limit increase requested
CEADLR000006,National Anand Depot,2026-03-31,1200000,1501716.78,976943.59,89771.03,162025.68,77112.19,225918.32,2025-09-02,N,promised next week
CEADLR000007,Shree Hari Tyres,2026-03-31,1200000,594546.29,518197.39,17484.72,9483.15,9570.72,27035.84,2025-11-08,N,
CEADLR000008,United Naveen Traders,2026-03-31,750000,792503.07,470163.32,78099.13,46963.54,30906.37,90939.68,01/29/2026,N,owner not reachable
CEADLR000009,Star Rafiq Corporation,2026-03-31,1200000,1091308.10,992319.05,27449.73,17183.16,24088.42,36643.26,2025-07-17,Y,promised next week
CEADLR000010,Kaveri Sanjay Mart,2026-03-31,500000,397491.30,319001.48,17903.53,26530.35,11590.30,19289.57,2025-07-10,N,cheque bounce
CEADLR000011,Mahalakshmi Sowmya Tyres,2026-03-31,2000000,764042.04,421636.74,90031.04,103018.18,78217.87,22567.56,2025-12-04,N,promised next week
CEADLR000012,Kaveri Deepak Services,2026-03-31,250000,138847.83,78243.29,20427.67,7837.64,14807.84,23641.00,2025-08-13,N,cheque bounce
CEADLR000013,National Ganesh Chemicals,2026-03-31,250000,293380.06,218929.81,16500.16,15085.75,9856.86,32046.23,22/03/2026,N,cheque bounce
CEADLR000014,Murugan Ganesh Tyres,2026-03-31,500000,291036.33,96055.15,59263.17,50665.22,26507.04,9950.82,08/04/2025,N,cheque bounce
CEADLR000015,Star Ganesh Stores,2026-03-31,250000,92935.88,15503.45,14659.06,17732.37,12463.89,3268.17,2025-12-23,Y,limit increase requested
CEADLR000016,Murugan Ganesh Fertilisers,2026-03-31,250000,223201.90,157019.50,19843.22,13866.82,4098.30,15204.10,2025-10-17,Y,
CEADLR000017,Ganesh Bala Corporation,2026-03-31,500000,402916.94,208300.19,45648.28,61374.47,47447.17,70802.43,2025-10-31,Y,limit increase requested
CEADLR000018,Ganesh Venkatesh Stores,2026-03-31,2000000,1526184.48,759472.20,120358.99,236596.31,131654.97,227814.39,2025-11-05,N,promised next week
CEADLR000019,Metro Ganesh Tyres,31/03/2026,500000,267148.93,164868.31,26433.63,33604.11,12776.46,31646.14,2026-03-08,N,promised next week
CEADLR000020,Shree Yusuf Tyres,2026-03-31,250000,22788.17,19040.57,1126.20,596.62,471.52,723.23,2026-01-27,N,limit increase requested
CEADLR000021,Mahalakshmi Arun Tyres,2026-03-31,7500000,3557986.82,2097839.89,475061.01,346587.89,229660.09,395849.99,2025-11-22,N,cheque bounce
CEADLR000022,United Yusuf Tyres,2026-03-31,500000,38489.15,7705.93,6894.31,8077.68,3056.68,3860.73,02/13/2026,N,promised next week
CEADLR000023,Star Prakash Tyres,2026-03-31,2000000,2540571.54,1698317.52,146162.70,133687.27,181673.37,297064.69,04-Nov-25,N,promised next week
CEADLR000024,New Irfan Tyres,2026-03-31,3500000,3000463.43,1578610.83,408767.90,316174.44,71870.25,205052.56,2026-03-09,N,claims adjusted
CEADLR000025,Shri Sanjay Depot,2026-03-31,1200000,523876.06,485713.61,5769.28,11902.08,2149.02,881.66,2025-07-09,N,claims adjusted
CEADLR000026,Prime Suresh Tyres,2026-03-31,500000,382657.59,211386.90,33922.74,50269.82,17514.65,75302.83,2026-03-17,N,promised next week
CEADLR000027,Ganesh Venkatesh Tyres,2026-03-31,7500000,5107898.82,4592812.55,138165.90,170704.25,99091.65,25633.01,07/09/2025,N,promised next week
CEADLR000028,United Arun Tyres,31/03/2026,2000000,1072618.51,877333.12,34071.91,28206.85,45625.85,29754.89,2025-08-02,N,cheque bounce
CEADLR000029,Vijaya Rafiq Associates,31-Mar-26,3500000,201826.22,174116.90,8211.85,7537.86,5384.37,2819.55,2025-08-18,N,owner not reachable
CEADLR000030,National Ganesh Tyres,2026-03-31,750000,115943.41,63568.70,10594.81,10848.44,4151.50,2051.09,2025-07-15,N,
CEADLR000031,Kaveri Manoj Agencies,2026-03-31,7500000,921999.66,643808.41,56880.63,56197.73,40242.23,48467.33,2025-11-27,N,cheque bounce
CEADLR000032,Sri Senthil Fertilisers,2026-03-31,1200000,907729.57,589129.90,61953.73,95047.25,67728.25,20781.67,2025-08-24,N,claims adjusted
CEADLR000033,City Naveen Traders,2026-03-31,250000,57357.48,38469.02,4880.75,2838.55,4169.09,5989.43,2026-03-11,Y,
CEADLR000034,Vijaya Revathi Tyres,31-Mar-26,500000,41113.56,20277.00,6516.85,5915.33,1252.59,8584.14,2025-08-09,Y,limit increase requested
CEADLR000035,Sri Lakshmi Depot,2026-03-31,250000,171321.14,128755.65,10992.20,8805.13,3305.50,13433.19,2026-03-04,N,
CEADLR000036,Shree Priya Chemicals,03/31/2026,1200000,1481963.69,745927.10,133355.51,110622.76,37035.69,150514.98,2026-02-22,Y,cheque bounce
CEADLR000037,Modern Senthil Paints,2026-03-31,2000000,765496.34,384976.10,95788.20,79348.67,42559.09,48272.98,2025-09-17,N,claims adjusted
CEADLR000038,Sree Karthik Mart,2026-03-31,2000000,2243682.78,1840901.31,101377.16,54868.92,48602.79,10948.94,2025-07-21,N,limit increase requested
CEADLR000039,United Deepak Tyres,2026-03-31,7500000,1155102.17,951517.93,38118.47,26922.94,28879.98,64663.47,2025-11-24,N,claims adjusted
CEADLR000040,Shree Bala Agro,2026-03-31,5000000,4494233.84,3815512.13,130945.13,188269.10,70813.98,124665.28,2026-03-09,N,cheque bounce
