activity_id,activity_date,customer_id,customer_name,activity_type,sales_rep_id,territory,visit_outcome,next_action_date,minutes_spent,lat_long_quality,free_text_note
CEAACT00000001,2024-04-29,CEASUB002562,City Deepak Agro,Scheme follow-up,SR007,TN-West-4,Order taken,,10,outside beat,asked scheme support
CEAACT00000002,2026-03-14,CEADLR000476,Lucky Revathi Tyres,Mechanic meet,SR030,TS-North-5,Competitor push seen,2026-04-03,20,manual,
CEAACT00000003,2025-02-07,CEASUB003751,SHREE CHANDRA CHEMICALS,Sub dealer visit,SR104,KL-Central-1,Complaint raised,2025-02-14,10,same gps as prior visit,shifted to competitor
CEAACT00000004,2026-01-02,CEASUB003964,Sri Manoj Associates,Mechanic meet,SR038,KL-West-7,Competitor push seen,16/01/2026,20,same gps as prior visit,secondary sale low
CEAACT00000005,2025-10-12,CEADLR000459,Mahalakshmi Anand Tyres,Dealer visit,SR099,KA-East-9,Payment follow-up,2025-11-22,60,manual,stockist dispute
CEAACT00000006,2025-12-08,CEADLR000141,Sree Bala Tyres,Scheme follow-up,SR102,AP-South-6,Complaint raised,2026-01-17,60,outside beat,
CEAACT00000007,2024-04-27,CEASUB003343,National Bala Tyres,Sub dealer visit,SR114,TN-South-3,Payment follow-up,14/05/2024,NA,OK,cash crunch
CEAACT00000008,2024-07-04,CEASUB000284,New Chandra Paints Pvt,Mechanic meet,SR130,TN-Central-7,Complaint raised,2024-07-28,NA,OK,new counter opened nearby
CEAACT00000009,2025-03-25,CEASUB003983,Sri Prakash Hardware,Scheme follow-up,SR109,TN-North-8,Competitor push seen,,10,same gps as prior visit,new counter opened nearby
CEAACT00000010,2024-11-18,CEADLR000745,Ganesh Venkatesh Services,Scheme follow-up,SR035,TN-West-4,No order,,10,OK,stockist dispute
CEAACT00000011,2025-06-25,CEASUB003659,Sri Lokesh Tyres,Sub dealer visit,SR043,KA-East-5,Demo done,,60,manual,stockist dispute
CEAACT00000012,2025-07-13,CEASUB000742,Sree Farida Paints,Mechanic meet,SR075,TN-West-1,Competitor push seen,2025-08-26,60,same gps as prior visit,asked scheme support
CEAACT00000013,2025-05-17,CEASUB003505,New Farida Stores,Sub dealer visit,SR061,KA-North-5,Demo done,2025-05-29,20,missing,new counter opened nearby
CEAACT00000014,2025-07-26,CEASUB003783,United Yusuf Agencies,Dealer visit,SR057,KA-South-9,Demo done,2025-09-07,30,same gps as prior visit,shifted to competitor
CEAACT00000015,2024-06-03,CEASUB001692,Vijaya Arun Enterprises,Sub dealer visit,SR095,KA-South-5,Owner absent,2024-07-12,45,manual,shifted to competitor
CEAACT00000016,2025-09-19,CEASUB002741,Mahalakshmi Sanjay Services,Sub dealer visit,SR141,PY-Central-1,Stock checked,2025-09-28,NA,OK,cash crunch
