service_id,service_date,fleet_id,mapped_dealer_id,vehicle_no,service_type,tyres_checked,issue_count,recommended_action,note
CEAFS00000001,2024-05-19,CEAFLEET00249,CEADLR000307,TN11CD6397,claim check,23,1,replace,fleet price issue
CEAFS00000002,2024-04-23,CEAFLEET00179,CEADLR000128,TS70JK8508,claim check,27,4,claim,competitor tyres fitted
CEAFS00000003,2024-06-28,CEAFLEET00091,CEADLR000052,AP98GH6857,rotation,20,5,claim,driver unavailable
CEAFS00000004,2025-09-28,CEAFLEET00005,CEADLR000412,KL62AB1343,inspection,16,2,rotate,high wear
CEAFS00000005,02/01/2025,CEAFLEET00057,CEADLR000059,KA73JK9901,rotation,20,1,replace,competitor tyres fitted
CEAFS00000006,2025-06-09,CEAFLEET00027,CEADLR000572,KL86GH8637,claim check,17,6,none,competitor tyres fitted
CEAFS00000007,2025-01-03,CEAFLEET00294,CEADLR000531,KA74JK7567,inspection,28,4,pressure training,competitor tyres fitted
CEAFS00000008,2025-03-28,CEAFLEET00091,CEADLR000052,KA85EF5745,fitment,21,7,pressure training,
CEAFS00000009,2025-04-11,CEAFLEET00178,CEADLR000735,TN78EF6986,claim check,24,6,none,competitor tyres fitted
CEAFS00000010,2025-06-25,CEAFLEET00204,CEADLR000717,TS35EF8016,rotation,22,2,none,fleet price issue
CEAFS00000011,2024-06-02,CEAFLEET00077,CEADLR000221,KA38CD6269,claim check,21,3,alignment,fleet price issue
CEAFS00000012,2025-03-03,CEAFLEET00221,CEADLR000722,KL24AB9393,inspection,22,2,replace,high wear
CEAFS00000013,2024-06-15,CEAFLEET00112,CEADLR000207,KA27GH6822,pressure audit,10,0,claim,high wear
CEAFS00000014,2024-07-24,CEAFLEET00070,CEADLR000661,KA73GH1536,claim check,6,6,none,high wear
CEAFS00000015,11/02/2025,CEAFLEET00235,CEADLR000352,KL71JK8999,pressure audit,4,3,replace,
CEAFS00000016,2024-10-02,CEAFLEET00219,CEADLR000010,AP20AB5357,fitment,22,0,claim,driver unavailable
CEAFS00000017,20/06/2024,CEAFLEET00198,CEADLR000698,KL96GH9630,inspection,11,5,alignment,competitor tyres fitted
CEAFS00000018,2024-09-20,CEAFLEET00035,CEADLR000280,TS99GH7085,fitment,27,2,replace,fleet price issue
CEAFS00000019,2024-06-02,CEAFLEET00182,CEADLR000250,KA24CD8211,pressure audit,30,0,none,driver unavailable
CEAFS00000020,2024-04-09,CEAFLEET00206,CEADLR000678,TN77AB2413,alignment,26,3,none,driver unavailable
CEAFS00000021,11/12/2025,CEAFLEET00182,CEADLR000250,KL99AB6953,alignment,26,2,rotate,
CEAFS00000022,07-Aug-24,CEAFLEET00097,CEADLR000006,AP78JK8846,alignment,16,6,claim,fleet price issue
CEAFS00000023,2024-06-03,CEAFLEET00011,CEADLR000109,KL96JK6626,claim check,22,5,pressure training,competitor tyres fitted
CEAFS00000024,2025-11-22,CEAFLEET00257,CEADLR000717,TS98CD8490,fitment,25,6,replace,driver unavailable
CEAFS00000025,30/07/2024,CEAFLEET00087,CEADLR000454,TS19GH7570,claim check,8,2,alignment,competitor tyres fitted
CEAFS00000026,2025-07-23,CEAFLEET00164,CEADLR000712,TS95CD2548,alignment,29,1,pressure training,
CEAFS00000027,2025-03-03,CEAFLEET00233,CEADLR000697,KL14GH7686,rotation,3,5,pressure training,driver unavailable
CEAFS00000028,11/13/2024,CEAFLEET00067,CEADLR000379,TN67GH2325,pressure audit,9,0,pressure training,high wear
