watch_id,customer_id,customer_name,added_by,added_date,watch_reason,last_known_action,manager_confidence
CEAWL00001,CEASUB000548,City Yusuf Associates,ASM,12/02/2026,competitor offer,field visit planned,unknown
CEAWL00002,CEASUB003410,United Yusuf Tyres,Zonal office,2025-07-27,closed counter,scheme support requested,unknown
CEAWL00003,CEASUB004046,Lucky Naveen Tyres,Service,17-Nov-25,closed counter,lost to competitor,high
CEAWL00004,CEASUB001663,Modern Lakshmi Enterprises,RSM,2025-06-13,closed counter,scheme support requested,medium
CEAWL00005,CEASUB003204,Kaveri Bala Mart,Credit,2025-10-09,owner dispute,waiting for payment,high
CEAWL00006,CEASUB004188,Kaveri Hari Hardware,ASM,2025-11-05,scheme claim pending,lost to competitor,low
CEAWL00007,CEADLR000173,Modern Suresh Tyres,Credit,2025-08-30,owner dispute,new owner to verify,unknown
CEAWL00008,CEASUB002533,MAHALAKSHMI HARI TYRES,Service,2025-08-27,owner dispute,scheme support requested,medium
CEAWL00009,CEASUB000792,CITY VENKATESH TYRES,Zonal office,2025-06-19,orders down,credit call done,unknown
CEAWL00010,CEADLR000203,United Bala Tyres,ASM,2026-02-04,closed counter,field visit planned,high
CEAWL00011,CEASUB002275,Vijaya Arun Services,Service,2025-09-03,orders down,waiting for payment,unknown
CEAWL00012,CEASUB001943,Modern Sowmya Corporation,Zonal office,2025-12-13,orders down,scheme support requested,medium
CEAWL00013,CEASUB001574,National Hari Tyres,Zonal office,2026-02-02,owner dispute,lost to competitor,medium
CEAWL00014,CEADLR000317,Murugan Bala Tyres,Credit,29/03/2026,owner dispute,field visit planned,medium
CEAWL00015,CEASUB003574,CITY ANAND PAINTS,Credit,2025-11-16,scheme claim pending,scheme support requested,medium
CEAWL00016,CEASUB002537,Balaji Irfan Tyres,ASM,2026-03-23,service complaint,credit call done,high
CEAWL00017,CEASUB001475,Royal Naveen Fertilisers,Distributor,2025-11-21,competitor offer,new owner to verify,unknown
CEAWL00018,CEASUB001849,METRO LOKESH HARDWARE,Credit,2026-02-16,service complaint,credit call done,high
CEAWL00019,CEASUB003655,Metro Revathi Tyres,RSM,2025-07-16,payment delay,field visit planned,medium
CEAWL00020,CEASUB000266,National Anand Sales Main,ASM,2025-12-16,payment delay,field visit planned,high
CEAWL00021,CEADLR000551,Prime Bala Tyres,Service,2025-12-27,orders down,waiting for payment,low
CEAWL00022,CEASUB000784,Modern Geetha Tyres,ASM,2025-11-21,seasonal crop miss,new owner to verify,unknown
CEAWL00023,CEASUB003828,Vijaya Revathi Services,Zonal office,2026-02-18,scheme claim pending,credit call done,unknown
CEAWL00024,CEASUB000071,Prime Karthik Enterprises,Distributor,18-Feb-26,owner dispute,field visit planned,unknown
CEAWL00025,CEASUB001089,Prime Arun Mart,Service,2026-01-19,orders down,credit call done,unknown
CEAWL00026,CEASUB000464,Mahalakshmi Arun Sales,Service,23/12/2025,seasonal crop miss,credit call done,high
CEAWL00027,CEASUB001077,Star Farida Depot,ASM,2025-11-10,owner dispute,field visit planned,medium
CEAWL00028,CEASUB000944,Prime Sanjay Distributors,Credit,16/11/2025,owner dispute,scheme support requested,medium
CEAWL00029,CEASUB003331,City Senthil Tyres,Service,2025-07-18,closed counter,credit call done,low
CEAWL00030,CEASUB000455,GANESH KARTHIK TYRES,RSM,30/08/2025,closed counter,lost to competitor,medium
CEAWL00031,CEASUB004152,National Suresh Distributors,RSM,24/10/2025,owner dispute,lost to competitor,low
CEAWL00032,CEASUB002258,Murugan Yusuf Mart,Zonal office,04-Jun-25,competitor offer,scheme support requested,medium
CEAWL00033,CEASUB000532,Balaji Lokesh Tyres,ASM,2026-01-09,competitor offer,credit call done,high
CEAWL00034,CEASUB000208,SRI DEEPAK DISTRIBUTORS,ASM,2025-09-25,competitor offer,new owner to verify,low
CEAWL00035,CEASUB002797,City Lokesh Distributors,ASM,05/11/2025,payment delay,credit call done,medium
CEAWL00036,CEASUB001509,Sri Bala Paints,Credit,2025-12-27,competitor offer,field visit planned,unknown
CEAWL00037,CEASUB002908,Modern Irfan Distributors,Distributor,10/07/2025,service complaint,waiting for payment,unknown
CEAWL00038,CEASUB003922,Metro Ganesh Traders,Zonal office,2026-01-05,service complaint,credit call done,high
CEAWL00039,CEASUB001492,New Prakash Traders,Zonal office,2025-12-24,competitor offer,scheme support requested,low
CEAWL00040,CEASUB003330,Murugan Venkatesh Mart,ASM,2026-01-23,owner dispute,field visit planned,high
CEAWL00041,CEASUB003405,United Chandra Stores,Credit,2025-12-29,closed counter,field visit planned,medium
CEAWL00042,CEASUB002146,Royal Yusuf Depot,ASM,2025-06-17,closed counter,new owner to verify,medium
