customer_id,customer_name,as_of_date,credit_limit,outstanding_amount,not_due_amount,days_1_30,days_31_60,days_61_90,days_90_plus,last_payment_date,block_flag,collector_note
CORDLR000001,United Bala Agro,31/03/2026,75000,93000.81,38375.57,15242.78,7610.40,6284.29,1521.12,2025-11-18,N,promised next week
CORDLR000002,Mahalakshmi Rafiq Enterprises & Co,31/03/2026,1200000,1467319.92,1331268.05,33036.78,23354.47,24399.29,31165.29,2026-02-10,N,promised next week
CORDLR000003,Modern Lokesh Distributors,2026-03-31,250000,205496.26,139101.41,11534.83,11594.32,7690.68,23167.34,2025-11-17,N,promised next week
CORDLR000004,Balaji Anand Associates,2026-03-31,50000,53621.50,40970.79,2580.92,4038.29,1381.37,2229.00,2025-08-01,Y,cheque bounce
CORDLR000005,United Meena Tyres,2026-03-31,0,2829.21,1946.61,275.25,140.26,60.38,50.56,12/12/2025,Y,cheque bounce
CORDLR000006,Royal Jagan Agro,2026-03-31,75000,57165.23,39627.78,5260.02,4489.91,3231.17,6311.71,2026-01-07,N,cheque bounce
CORDLR000007,Ganesh Anand Agro,2026-03-31,100000,16896.16,9178.43,1203.08,2367.37,1049.22,2731.88,2025-08-30,Y,claims adjusted
CORDLR000008,Modern Sanjay Tyres,2026-03-31,100000,118673.66,82091.22,5792.56,6891.58,2045.76,4801.65,04-Aug-25,N,owner not reachable
CORDLR000009,Mahalakshmi Manoj Agro,31/03/2026,50000,47896.85,28423.45,5866.34,5146.61,2699.56,1674.51,21-Feb-26,N,
CORDLR000010,Prime Jagan Paints,2026-03-31,50000,23103.34,15331.98,2145.81,1135.78,544.11,197.35,2025-11-27,N,promised next week
CORDLR000011,Mahalakshmi Chandra Hardware,2026-03-31,100000,6176.69,4440.89,319.46,392.79,393.82,494.13,2026-03-10,N,
CORDLR000012,Kaveri Suresh Associates,2026-03-31,50000,13187.67,6949.56,1531.24,1005.87,753.96,1572.53,2026-01-28,Y,owner not reachable
CORDLR000013,Star Prakash Sales,2026-03-31,150000,96504.96,52150.16,8197.73,7856.29,6304.39,4781.90,2025-12-07,N,
CORDLR000014,National Kavya Corporation,2026-03-31,75000,96982.15,64713.80,5770.71,4007.56,4718.41,8723.27,27/07/2025,Y,cheque bounce
CORDLR000015,National Senthil Agro,2026-03-31,250000,312165.72,155547.46,39373.99,28764.59,38884.74,17998.10,08/02/2025,Y,cheque bounce
CORDLR000016,Shree Lakshmi Enterprises,2026-03-31,100000,17799.15,15670.94,672.39,364.92,221.42,864.94,2025-11-07,N,owner not reachable
CORDLR000017,United Anand Traders Ltd,2026-03-31,75000,8447.14,6567.00,323.40,359.15,102.47,422.28,2025-11-03,N,
CORDLR000018,Murugan Naveen Enterprises,2026-03-31,250000,105430.66,75790.26,7533.62,7554.45,6895.96,5624.06,25-Feb-26,N,cheque bounce
CORDLR000019,Modern Deepak Agro,2026-03-31,400000,356718.24,157212.10,43463.06,50030.12,18707.72,67672.03,2025-09-12,N,limit increase requested
CORDLR000020,Kaveri Lakshmi Agro,2026-03-31,1200000,965457.36,914700.36,11791.38,12338.43,11695.68,17382.01,2025-12-10,N,promised next week
CORDLR000021,Star Anand Enterprises,31-Mar-26,100000,103100.98,87099.33,5340.79,5406.71,1299.37,4401.49,03/07/2026,N,cheque bounce
CORDLR000022,Kaveri Priya Agro,2026-03-31,0,13962.87,7590.99,1378.38,1161.48,501.33,222.01,2026-03-28,Y,cheque bounce
