demo_id,demo_start_date,farmer_id,mapped_store_id,crop,product_focus,plot_area_acres,stage,result_note
CORDEMO000001,2025-09-07,CORFRM0014691,CORSTR00422,Chilli,COR0020,0.8,converted,farmer bought later
CORDEMO000002,23/09/2025,CORFRM0004140,CORSTR01038,Paddy,COR0001,2.35,converted,good crop stand
CORDEMO000003,2025-07-02,CORFRM0015585,CORSTR00743,Vegetables,COR0006,1.13,converted,rain damage
CORDEMO000004,2025-01-08,CORFRM0023971,CORSTR00722,Coconut,COR0021,2.02,abandoned,
CORDEMO000005,2025-01-16,CORFRM0008284,CORSTR00698,Maize,COR0006,2.43,abandoned,competitor demo nearby
CORDEMO000006,2024-10-27,CORFRM0008407,CORSTR01082,Maize,COR0023,0.18,abandoned,rain damage
CORDEMO000007,2025-03-24,CORFRM0022184,CORSTR00135,Paddy,COR0012,0.76,planned,
CORDEMO000008,2024-12-29,CORFRM0006508,CORSTR00008,Maize,COR0020,1.09,abandoned,photo missing
CORDEMO000009,02/09/2024,CORFRM0002059,CORSTR00835,Vegetables,COR0008,0.69,planned,good crop stand
CORDEMO000010,20/05/2025,CORFRM0001733,CORSTR00164,Chilli,COR0001,1.39,converted,competitor demo nearby
CORDEMO000011,2024-11-04,CORFRM0021421,CORSTR00095,Mango,COR0030,0.34,abandoned,rain damage
CORDEMO000012,2025-01-06,CORFRM0014603,CORSTR00969,Banana,COR0017,0.94,abandoned,photo missing
CORDEMO000013,2024-09-17,CORFRM0010788,CORSTR00394,Turmeric,COR0021,0.66,in progress,
CORDEMO000014,22/10/2025,CORFRM0002437,CORSTR00909,Groundnut,COR0016,1.21,planned,good crop stand
CORDEMO000015,2025-07-10,CORFRM0020932,CORSTR00726,Banana,COR0029,2.07,in progress,photo missing
CORDEMO000016,14-Jul-24,CORFRM0000798,CORSTR00836,Sugarcane,COR0026,1.44,in progress,rain damage
CORDEMO000017,2024-07-11,CORFRM0018518,CORSTR01133,Maize,COR0016,0.51,converted,photo missing
CORDEMO000018,2024-06-03,CORFRM0020525,CORSTR00337,Maize,COR0018,0.24,abandoned,farmer bought later
CORDEMO000019,2025-11-14,CORFRM0006050,CORSTR00127,Paddy,COR0025,0.91,abandoned,rain damage
CORDEMO000020,2025-05-13,CORFRM0008323,CORSTR00853,Coconut,COR0032,2.51,in progress,
CORDEMO000021,2024-10-06,CORFRM0014464,CORSTR00071,Vegetables,COR0007,2.37,in progress,photo missing
CORDEMO000022,19-Mar-25,CORFRM0007985,CORSTR00503,Cotton,COR0012,1.47,converted,farmer bought later
CORDEMO000023,2024-06-21,CORFRM0012234,CORSTR00041,Maize,COR0023,2.67,in progress,farmer bought later
CORDEMO000024,2025-12-18,CORFRM0021783,CORSTR00375,Turmeric,COR0027,1.86,planned,
CORDEMO000025,2025-04-04,CORFRM0008104,CORSTR00262,Turmeric,COR0020,2.62,harvested,
CORDEMO000026,2024-12-08,CORFRM0012079,CORSTR00752,Paddy,COR0014,0.72,abandoned,competitor demo nearby
CORDEMO000027,2024-08-30,CORFRM0003363,CORSTR00934,Coconut,COR0015,1.07,in progress,good crop stand
CORDEMO000028,28/01/2026,CORFRM0008324,CORSTR00491,Maize,COR0004,2.76,converted,rain damage
CORDEMO000029,28/04/2024,CORFRM0015494,CORSTR00829,Vegetables,COR0022,1.55,planned,
CORDEMO000030,2025-08-22,CORFRM0017639,CORSTR00635,Sugarcane,COR0032,0.35,harvested,competitor demo nearby
CORDEMO000031,2025-11-17,CORFRM0012130,CORSTR00014,Turmeric,COR0010,2.67,converted,competitor demo nearby
CORDEMO000032,2025-02-01,CORFRM0015649,CORSTR01021,Coconut,COR0032,0.73,harvested,rain damage
CORDEMO000033,2024-10-14,CORFRM0005078,CORSTR00967,Paddy,COR0009,0.42,harvested,competitor demo nearby
CORDEMO000034,2025-03-13,CORFRM0005865,CORSTR00837,Turmeric,COR0002,1.44,harvested,farmer bought later
CORDEMO000035,2025-07-09,CORFRM0017233,CORSTR00067,Maize,COR0001,2.77,in progress,
CORDEMO000036,2025-07-10,CORFRM0002464,CORSTR00706,Groundnut,COR0008,1.74,in progress,competitor demo nearby
CORDEMO000037,2025-03-02,CORFRM0009731,CORSTR00956,Banana,COR0001,1.72,planned,
