spray_id,spray_date,farmer_id,mapped_store_id,crop,acreage_sprayed,product_used,service_status,operator_id,note
CORDRN00000001,2026-03-04,CORFRM0005331,CORSTR00467,Coconut,1.58,COR0029,weather hold,DRN0234,repeat booking
CORDRN00000002,2025-07-28,CORFRM0005030,CORSTR00808,Paddy,0.56,COR0007,payment pending,DRN0232,wind issue
CORDRN00000003,2025-08-21,CORFRM0000988,CORSTR01142,Sugarcane,7.22,COR0016,rescheduled,DRN0135,wind issue
CORDRN00000004,2025-06-20,CORFRM0013400,CORSTR00755,Maize,3.18,COR0014,payment pending,DRN0076,farmer absent
CORDRN00000005,2024-10-17,CORFRM0004497,CORSTR01151,Turmeric,14.61,COR0030,weather hold,DRN0149,
CORDRN00000006,2025-01-19,CORFRM0021140,CORSTR00535,Banana,10.45,COR0028,weather hold,DRN0073,farmer absent
CORDRN00000007,2025-10-07,CORFRM0016751,CORSTR00663,Paddy,5.06,COR0022,weather hold,DRN0074,
CORDRN00000008,2024-06-06,CORFRM0010695,CORSTR00986,Turmeric,5.7,COR0012,cancelled,DRN0178,tank shortage
CORDRN00000009,2025-11-10,CORFRM0021521,CORSTR00826,Chilli,5.85,COR0004,cancelled,DRN0179,tank shortage
CORDRN00000010,2026-01-14,CORFRM0000872,CORSTR00056,Sugarcane,8.38,COR0008,weather hold,DRN0182,farmer absent
CORDRN00000011,2024-06-04,CORFRM0012781,CORSTR00056,Paddy,1.59,COR0017,rescheduled,DRN0203,repeat booking
CORDRN00000012,2025-11-03,CORFRM0005841,CORSTR00723,Cotton,14.27,COR0031,payment pending,DRN0226,
CORDRN00000013,2024-11-08,CORFRM0003261,CORSTR00736,Chilli,19.69,COR0009,rescheduled,DRN0103,
CORDRN00000014,05/07/2025,CORFRM0013749,CORSTR00005,Groundnut,3.59,COR0026,cancelled,DRN0028,wind issue
CORDRN00000015,2025-05-18,CORFRM0002917,CORSTR00239,Sugarcane,6.88,COR0007,rescheduled,DRN0011,tank shortage
CORDRN00000016,2025-08-04,CORFRM0007154,CORSTR00249,Paddy,18.54,COR0010,completed,DRN0055,repeat booking
CORDRN00000017,24/02/2025,CORFRM0020280,CORSTR00300,Paddy,12.31,COR0031,payment pending,DRN0001,tank shortage
CORDRN00000018,2025-03-29,CORFRM0013150,CORSTR01041,Turmeric,5.88,COR0017,rescheduled,DRN0044,wind issue
CORDRN00000019,2025-05-22,CORFRM0013514,CORSTR00691,Cotton,3.03,COR0006,weather hold,DRN0029,farmer absent
CORDRN00000020,2024-05-29,CORFRM0005200,CORSTR00318,Vegetables,11.34,COR0028,completed,DRN0115,tank shortage
CORDRN00000021,2025-05-26,CORFRM0019688,CORSTR00962,Mango,7.73,COR0018,cancelled,DRN0137,repeat booking
CORDRN00000022,2025-09-01,CORFRM0016417,CORSTR00039,Mango,16.58,COR0026,weather hold,DRN0169,farmer absent
CORDRN00000023,2024-12-19,CORFRM0022032,CORSTR00028,Mango,14.37,COR0020,rescheduled,DRN0200,
CORDRN00000024,2025-09-24,CORFRM0016447,CORSTR00395,Vegetables,0.51,COR0002,cancelled,DRN0235,repeat booking
CORDRN00000025,2025-07-05,CORFRM0021141,CORSTR01085,Sugarcane,7.46,COR0030,cancelled,DRN0191,tank shortage
CORDRN00000026,2024-10-18,CORFRM0016961,CORSTR00563,Groundnut,1.41,COR0026,payment pending,DRN0193,tank shortage
CORDRN00000027,2024-04-06,CORFRM0021822,CORSTR00426,Mango,15.21,COR0005,weather hold,DRN0129,
CORDRN00000028,2024-12-29,CORFRM0000583,CORSTR00763,Cotton,4.19,COR0023,cancelled,DRN0068,repeat booking
CORDRN00000029,2025-05-24,CORFRM0007063,CORSTR00347,Cotton,6.07,COR0026,cancelled,DRN0123,farmer absent
CORDRN00000030,2026-01-17,CORFRM0019037,CORSTR00561,Groundnut,7.79,COR0033,completed,DRN0191,
CORDRN00000031,2025-11-29,CORFRM0017319,CORSTR01134,Cotton,9.33,COR0002,rescheduled,DRN0152,farmer absent
CORDRN00000032,2024-07-07,CORFRM0018330,CORSTR00372,Chilli,7.44,COR0013,payment pending,DRN0082,farmer absent
CORDRN00000033,2026-01-12,CORFRM0014291,CORSTR01012,Groundnut,1.12,COR0003,weather hold,DRN0240,repeat booking
CORDRN00000034,2026-02-12,CORFRM0024775,CORSTR00890,Chilli,4.73,COR0025,weather hold,DRN0234,farmer absent
CORDRN00000035,2025-01-17,CORFRM0009228,CORSTR00569,Banana,1.91,COR0007,payment pending,DRN0240,
CORDRN00000036,2024-06-18,CORFRM0023039,CORSTR00802,Coconut,3.27,COR0009,weather hold,DRN0138,tank shortage
CORDRN00000037,02/12/2025,CORFRM0011252,CORSTR01060,Banana,7.19,COR0001,completed,DRN0198,
CORDRN00000038,2025-05-31,CORFRM0017446,CORSTR00331,Banana,10.24,COR0016,cancelled,DRN0202,repeat booking
CORDRN00000039,2026-03-14,CORFRM0005312,CORSTR00552,Mango,15.16,COR0001,payment pending,DRN0136,farmer absent
CORDRN00000040,2024-09-29,CORFRM0003545,CORSTR00400,Cotton,10.81,COR0010,cancelled,DRN0086,repeat booking
CORDRN00000041,2025-02-21,CORFRM0019037,CORSTR00561,Groundnut,19.38,COR0012,rescheduled,DRN0177,wind issue
CORDRN00000042,01/03/2026,CORFRM0004684,CORSTR00934,Mango,2.21,COR0032,payment pending,DRN0058,
CORDRN00000043,19-Feb-25,CORFRM0017365,CORSTR00566,Chilli,5.53,COR0027,completed,DRN0082,wind issue
CORDRN00000044,2025-05-01,CORFRM0018393,CORSTR00091,Mango,6.54,COR0029,cancelled,DRN0072,wind issue
CORDRN00000045,2025-03-21,CORFRM0019860,CORSTR00088,Mango,5.96,COR0031,cancelled,DRN0120,wind issue
CORDRN00000046,2025-11-30,CORFRM0014282,CORSTR01122,Maize,7.05,COR0031,payment pending,DRN0008,
CORDRN00000047,09/01/2025,CORFRM0001057,CORSTR00772,Paddy,9.35,COR0005,rescheduled,DRN0249,wind issue
CORDRN00000048,2026-01-19,CORFRM0022142,CORSTR00962,Coconut,11.34,COR0016,cancelled,DRN0057,
CORDRN00000049,30/06/2024,CORFRM0000811,CORSTR00240,Mango,8.97,COR0005,cancelled,DRN0148,repeat booking
CORDRN00000050,2024-06-06,CORFRM0018283,CORSTR00970,Vegetables,17.48,COR0030,weather hold,DRN0061,tank shortage
CORDRN00000051,2026-02-28,CORFRM0012087,CORSTR00142,Sugarcane,1.47,COR0033,cancelled,DRN0110,wind issue
