activity_id,activity_date,customer_id,customer_name,activity_type,sales_rep_id,territory,visit_outcome,next_action_date,minutes_spent,lat_long_quality,free_text_note
CORACT00000001,2025-08-07,CORDLR002125,Modern Lokesh Mart,Crop demo,SR084,KA-South-4,Order taken,2025-09-20,30,OK,shifted to competitor
CORACT00000002,2024-10-06,CORDLR002477,Sri Sowmya Paints,Payment follow-up,SR008,PY-West-4,Payment follow-up,2024-11-05,45,same gps as prior visit,secondary sale low
CORACT00000003,08/06/2025,CORDLR002461,City Bala Agro,Stock check,SR009,KL-West-9,No order,17/09/2025,10,same gps as prior visit,
CORACT00000004,11/28/2025,CORDLR000417,Shree Deepak Stores,Crop demo,SR014,TN-South-9,Demo done,2025-12-27,5,manual,asked scheme support
CORACT00000005,2024-08-20,CORDLR001574,Shree Suresh Depot,Drone demo,SR118,TS-North-3,No order,26-Aug-24,NA,missing,asked scheme support
CORACT00000006,2025-09-26,CORDLR001509,New Meena Enterprises,Stock check,SR022,TN-South-3,Complaint raised,,5,OK,secondary sale low
CORACT00000007,2024-11-11,CORDLR002347,Kaveri Prakash Agro,Payment follow-up,SR021,TN-South-5,Demo done,2024-11-23,30,outside beat,shifted to competitor
CORACT00000008,2024-08-29,CORDLR002065,Vijaya Naveen Agro,Drone demo,SR016,KA-Central-1,Payment follow-up,2024-09-25,60,manual,secondary sale low
CORACT00000009,2025-01-14,CORDLR000235,NEW KARTHIK AGRO,Stock check,SR080,KA-Central-5,Complaint raised,2025-02-18,60,same gps as prior visit,secondary sale low
CORACT00000010,03-Nov-24,CORDLR001437,Ganesh Kavya Corporation,Payment follow-up,SR014,TS-South-4,Order taken,,NA,missing,cash crunch
CORACT00000011,2024-10-17,CORDLR000918,Star Jagan Services,Drone demo,SR067,KA-South-5,Competitor push seen,29-Oct-24,NA,missing,asked scheme support
CORACT00000012,2024-07-09,CORDLR000695,Kaveri Prakash Agro,Crop demo,SR110,TN-South-3,Order taken,23/07/2024,60,manual,new counter opened nearby
CORACT00000013,2024-07-27,CORDLR001006,Star Jagan Agro,Farmer meeting,SR091,KL-North-5,Payment follow-up,2024-08-14,30,outside beat,new counter opened nearby
CORACT00000014,10/03/2026,CORDLR000853,MURUGAN GEETHA AGRO,Drone demo,SR027,TN-North-1,Order taken,2026-03-18,15,outside beat,stockist dispute
CORACT00000015,2024-10-02,CORDLR001996,Balaji Anand Associates,Dealer visit,SR044,KL-South-2,Owner absent,2024-10-20,60,same gps as prior visit,
CORACT00000016,2024-10-22,CORDLR000372,Shree Senthil Enterprises,Dealer visit,SR018,TS-East-6,Owner absent,,30,manual,new counter opened nearby
CORACT00000017,2024-10-01,CORDLR001663,Vijaya Meena Sales,Stock check,SR145,TS-North-8,Order taken,,5,OK,shifted to competitor
CORACT00000018,2025-08-26,CORDLR000846,Vijaya Karthik Agro,Dealer visit,SR109,KA-West-8,Complaint raised,2025-09-05,10,missing,
CORACT00000019,2024-07-02,CORDLR001338,Mahalakshmi Venkatesh Paints,Crop demo,SR140,KA-West-3,Demo done,2024-08-11,5,same gps as prior visit,asked scheme support
