store_id,store_name,brand,state,state_clean,district,city,pincode,opened_date,store_type,agronomist_mapped,data_quality_note
CORSTR00001,Mana Gromor Rajahmundry 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,East Godavari,Rajahmundry,376924,25-Feb-24,satellite,N,old store code
CORSTR00002,Mana Gromor Guntur 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,373140,2008-03-30,company owned,Y,new store from FY26
CORSTR00003,Namma Gromor Shivamogga 4,Namma Gromor,Karnataka,Karnataka,Shivamogga,Shivamogga,299780,2007-03-04,hub,Y,new store from FY26
CORSTR00004,Mana Gromor Nizamabad 6,Mana Gromor,Telangana,Telangana,Nizamabad,Nizamabad,367465,2011-08-11,company owned,N,new store from FY26
CORSTR00005,Namma Gromor Bengaluru 3,Namma Gromor,Karnataka,Karnataka,Bengaluru Urban,Bengaluru,295100,2020-08-29,satellite,Y,brand spelling varies
CORSTR00006,Mana Gromor Ongole 1,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,379180,01/30/2014,seasonal extension,Y,district split
CORSTR00007,Namma Gromor Belagavi 3,Namma Gromor,Karnataka,Karnataka,Belagavi,Belagavi,296908,2023-10-11,company owned,shared,brand spelling varies
CORSTR00008,Namma Gromor Kalaburagi 2,Namma Gromor,KARNATAKA,Karnataka,Kalaburagi,Kalaburagi,293535,2007-07-20,hub,Y,brand spelling varies
CORSTR00009,Mana Gromor Ongole 7,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,379728,2022-05-04,company owned,shared,brand spelling varies
CORSTR00010,Mana Gromor Khammam 2,Mana Gromor,Telangana,Telangana,Khammam,Khammam,361280,2009-03-12,seasonal extension,N,
CORSTR00011,Mana Gromor Anantapur 2,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Anantapur,Anantapur,379758,01/06/2011,company owned,shared,brand spelling varies
CORSTR00012,Mana Gromor Nellore 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Nellore,Nellore,373558,2010-05-04,company owned,Y,brand spelling varies
CORSTR00013,Namma Gromor Tumakuru 6,Namma Gromor,Karnataka,Karnataka,Tumakuru,Tumakuru,299299,2019-12-12,seasonal extension,shared,new store from FY26
CORSTR00014,Nammadu Gromor Trichy 3,Nammadu Gromor,Tamil Nadu,Tamil Nadu,Tiruchirappalli,Trichy,334259,2019-08-18,hub,Y,brand spelling varies
CORSTR00015,Mana Gromor Guntur 5,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Guntur,Guntur,374450,02/11/2023,hub,Y,district split
CORSTR00016,Mana Gromor Ongole 9,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Prakasam,Ongole,378642,2013-05-25,satellite,N,old store code
CORSTR00017,Mana Gromor Tirupati 6,Mana Gromor,Andhra Pradesh,Andhra Pradesh,Tirupati,Tirupati,376449,2021-05-21,satellite,shared,
