customer_id,customer_name,as_of_date,credit_limit,outstanding_amount,not_due_amount,days_1_30,days_31_60,days_61_90,days_90_plus,last_payment_date,block_flag,collector_note
PIDDLR000001,Metro Irfan Distributors & Co,2026-03-31,1200000,733399.98,466435.60,46976.32,85863.43,51350.03,118294.21,2025-09-10,Y,limit increase requested
PIDDLR000002,Kaveri Karthik Distributors,31-Mar-26,2000000,1409006.16,621532.91,209402.70,230924.32,84390.63,55490.00,2025-07-04,N,
PIDDLR000003,Royal Irfan Corporation,2026-03-31,1200000,1392924.58,688575.98,230134.64,127696.47,90979.51,278838.20,09/10/2025,N,owner not reachable
PIDDLR000004,Lucky Hari Mart,2026-03-31,750000,794388.99,515043.82,53317.45,42459.21,66246.75,22176.77,2025-09-24,N,cheque bounce
PIDDLR000005,Vijaya Rafiq Chemicals,2026-03-31,7500000,4381802.43,1576772.63,644497.27,735169.42,213095.86,793470.69,03/10/2025,N,claims adjusted
PIDDLR000006,Shree Hari Hardware,2026-03-31,500000,199503.49,137903.69,20554.49,16186.93,11885.08,15889.28,2025-08-09,N,promised next week
PIDDLR000007,Modern Deepak Distributors,2026-03-31,5000000,6586752.11,6134014.90,117503.20,74763.38,87401.79,134354.39,2025-12-02,N,limit increase requested
PIDDLR000008,Metro Lakshmi Distributors,2026-03-31,7500000,992775.30,769841.03,63201.46,58832.81,28405.77,33375.39,2026-02-02,Y,claims adjusted
PIDDLR000009,Mahalakshmi Ganesh Distributors,31/03/2026,500000,324046.15,245494.98,14386.97,19059.78,9059.14,30231.11,2026-03-12,N,owner not reachable
PIDDLR000010,New Irfan Services,2026-03-31,500000,75051.53,55303.72,5861.77,5450.66,3704.30,3865.76,2026-03-25,N,cheque bounce
PIDDLR000011,VIJAYA BALA CORPORATION,03/31/2026,7500000,5067289.32,3358755.64,372794.56,372361.78,398448.45,380110.32,2025-08-04,Y,
PIDDLR000012,Modern Deepak Distributors,2026-03-31,250000,150231.95,123939.28,6389.47,9144.63,2020.13,3756.04,2025-09-21,N,promised next week
PIDDLR000013,Shree Senthil Associates,2026-03-31,2000000,1018723.51,518528.27,125347.88,163617.32,58116.93,162231.70,2026-02-18,N,claims adjusted
PIDDLR000014,Star Suresh Paints,2026-03-31,500000,536874.68,303500.93,75824.03,68455.60,21233.43,80619.55,2025-10-16,N,owner not reachable
PIDDLR000015,Balaji Hari Sales,2026-03-31,7500000,3692084.59,2271918.96,399492.33,378701.45,284965.27,277364.56,2025-07-12,Y,owner not reachable
PIDDLR000016,Royal Yusuf Agro,2026-03-31,3500000,1040222.98,865718.19,52243.74,51756.79,25079.04,24557.82,2025-07-15,N,cheque bounce
PIDDLR000017,Murugan Lokesh Agro,2026-03-31,500000,86984.48,80711.74,2058.89,1001.35,472.67,2514.37,2025-12-20,N,limit increase requested
PIDDLR000018,Prime Prakash Traders,03/31/2026,500000,207642.41,16279.96,40473.56,24939.71,30656.99,62293.89,2026-01-14,N,claims adjusted
PIDDLR000019,United Farida Associates,2026-03-31,500000,37980.96,33655.79,654.89,1476.04,1055.46,770.91,2025-12-11,N,
PIDDLR000020,City Bala Fertilisers,2026-03-31,3500000,3648410.55,1377210.61,771934.25,628571.72,280305.51,890411.93,26/07/2025,N,cheque bounce
PIDDLR000021,Modern Hari Fertilisers,2026-03-31,2000000,475838.57,316671.27,35574.87,53835.81,37295.15,18143.70,08/17/2025,Y,cheque bounce
PIDDLR000022,Royal Senthil Traders,2026-03-31,7500000,5529207.39,4021625.28,380573.18,409139.01,372529.49,664133.70,2026-03-20,Y,
PIDDLR000023,Sri Lokesh Distributors,31/03/2026,7500000,1978915.23,479002.37,399541.15,337578.92,116529.84,177681.87,2026-01-08,Y,owner not reachable
PIDDLR000024,United Chandra Chemicals,2026-03-31,500000,241644.74,225487.70,5427.67,3976.40,2152.72,4754.69,2025-12-06,N,claims adjusted
PIDDLR000025,Ganesh Chandra Services Pvt,2026-03-31,5000000,3365184.17,2795076.46,188081.66,156076.43,40000.70,146283.21,2025-08-13,N,
PIDDLR000026,Shree Sanjay Agro Main,2026-03-31,2000000,2545724.18,1443196.73,362012.41,200696.17,123955.67,392063.32,2025-07-31,N,claims adjusted
PIDDLR000027,City Prakash Mart,2026-03-31,500000,278795.85,97495.78,37260.56,60095.92,38859.89,23874.61,11-Sep-25,Y,
PIDDLR000028,Sree Naveen Corporation,2026-03-31,5000000,3635068.20,1995924.29,253225.09,502557.45,364793.96,424942.47,2025-08-05,N,owner not reachable
PIDDLR000029,National Senthil Tyres,2026-03-31,750000,310474.70,177328.37,37475.53,33969.69,14626.92,50296.76,2026-02-11,Y,limit increase requested
PIDDLR000030,Star Sanjay Stores,2026-03-31,7500000,8340587.39,6744141.80,283794.12,375027.04,311102.09,557845.06,20/09/2025,N,cheque bounce
PIDDLR000031,UNITED KAVYA DISTRIBUTORS,2026-03-31,2000000,2312804.42,312689.60,300573.43,627309.03,223264.85,344246.37,2026-03-28,N,owner not reachable
PIDDLR000032,Mahalakshmi Naveen Associates,2026-03-31,2000000,2094899.40,1260454.13,163600.48,119400.28,129213.92,20590.58,2025-11-24,N,
PIDDLR000033,Star Bala Tyres,2026-03-31,7500000,4092427.36,3180500.66,286684.31,218609.97,194008.31,148026.11,11/26/2025,N,promised next week
PIDDLR000034,Kaveri Sowmya Tyres,31/03/2026,7500000,5593277.21,4134587.55,434815.72,499388.61,300802.90,214508.02,20/11/2025,N,limit increase requested
PIDDLR000035,Ganesh Chandra Associates,2026-03-31,250000,210265.11,42174.84,50981.22,51751.61,39633.75,71174.22,2025-12-09,N,limit increase requested
PIDDLR000036,Prime Sanjay Distributors,2026-03-31,2000000,1184749.79,855636.12,90975.27,55161.23,71571.49,126024.61,2026-02-05,N,promised next week
PIDDLR000037,Prime Ganesh Services,2026-03-31,250000,100493.96,58130.01,10958.45,9805.40,9025.84,9136.27,05-Feb-26,Y,owner not reachable
PIDDLR000038,Prime Karthik Paints,2026-03-31,7500000,6858171.48,5924921.84,295836.23,290464.81,141481.09,65216.25,06/02/2026,N,limit increase requested
PIDDLR000039,Shree Geetha Distributors Ltd,2026-03-31,500000,310905.77,85604.26,40509.23,58656.11,32121.28,73008.48,2025-07-15,Y,cheque bounce
PIDDLR000040,Royal Chandra Distributors,2026-03-31,5000000,6436258.80,2997277.05,710394.14,1038063.05,762835.00,263812.74,08/03/2026,N,limit increase requested
PIDDLR000041,Vijaya Sanjay Services,2026-03-31,250000,291486.81,235343.97,11043.01,8490.37,11989.52,4621.78,2025-12-14,Y,cheque bounce
PIDDLR000042,City Venkatesh Distributors,31/03/2026,5000000,435421.58,319065.36,34606.27,31931.68,23158.65,27159.35,2025-11-13,N,cheque bounce
PIDDLR000043,Murugan Suresh Chemicals,31/03/2026,5000000,2714591.87,2198199.74,114293.01,166701.11,49012.28,67089.89,2025-08-24,N,claims adjusted
PIDDLR000044,Lucky Yusuf Distributors,2026-03-31,750000,245097.64,232223.72,2755.23,2078.77,1973.07,956.86,2026-01-21,N,claims adjusted
PIDDLR000045,Sree Chandra Services Main,2026-03-31,750000,318364.37,265955.54,10256.25,11072.48,8719.67,9820.76,2026-03-31,N,promised next week
PIDDLR000046,Lucky Sowmya Associates,2026-03-31,7500000,607931.65,344020.19,58560.33,50074.18,39956.37,113419.83,2025-07-25,Y,limit increase requested
PIDDLR000047,Metro Lakshmi Distributors,2026-03-31,2000000,2177680.76,1114519.41,253136.25,164181.42,206667.27,470654.10,2026-02-09,N,claims adjusted
PIDDLR000048,Vijaya Venkatesh Chemicals,2026-03-31,7500000,8584202.24,4478017.47,1312657.72,1401014.27,1000087.56,869709.18,2025-08-28,N,owner not reachable
PIDDLR000049,City Arun Paints,2026-03-31,250000,194431.73,75342.31,19488.68,36350.59,13639.95,35520.80,2025-07-06,N,limit increase requested
PIDDLR000050,Prime Anand Chemicals,2026-03-31,750000,397392.11,305421.78,30208.73,23784.40,5958.62,24587.33,2025-09-03,N,promised next week
PIDDLR000051,Balaji Venkatesh Chemicals,2026-03-31,7500000,722834.21,457218.72,57387.54,39926.29,28796.50,86792.58,2026-01-26,N,owner not reachable
PIDDLR000052,Murugan Kavya Chemicals,2026-03-31,2000000,764186.74,526738.21,47061.22,31865.96,27632.05,75073.69,2025-10-16,N,promised next week
PIDDLR000053,Metro Sowmya Fertilisers,2026-03-31,500000,428411.21,265634.62,53503.34,45505.87,27636.04,43562.48,08/08/2025,Y,cheque bounce
PIDDLR000054,Sri Deepak Associates,2026-03-31,7500000,5601328.92,3738729.84,573603.73,439102.62,419776.50,38826.99,2025-09-06,Y,
PIDDLR000055,Balaji Anand Distributors,2026-03-31,500000,568473.62,517712.34,9039.18,9224.91,7092.72,3754.65,19/12/2025,Y,limit increase requested
PIDDLR000056,Sree Yusuf Paints,2026-03-31,2000000,2539451.43,1351451.56,284977.51,412265.67,135582.96,354045.61,2026-03-04,N,limit increase requested
