activity_id,activity_date,customer_id,customer_name,activity_type,sales_rep_id,territory,visit_outcome,next_action_date,minutes_spent,lat_long_quality,free_text_note
PIDACT00000001,2025-06-23,PIDOUT003813,Shree Venkatesh Mart,Counter meet,SR025,TN-North-6,Competitor push seen,2025-08-04,45,manual,
PIDACT00000002,2026-02-24,PIDOUT008967,Lucky Hari Sales,Applicator demo,SR052,TS-East-9,No order,2026-03-18,5,missing,stockist dispute
PIDACT00000003,2024-08-26,PIDOUT005064,Ganesh Manoj Hardware,Counter meet,SR022,TS-East-1,Competitor push seen,06/09/2024,20,missing,stockist dispute
PIDACT00000004,2026-01-16,PIDOUT007654,Vijaya Karthik Hardware,Counter meet,SR051,TN-West-7,Stock checked,2026-01-22,15,same gps as prior visit,asked scheme support
PIDACT00000005,2024-12-14,PIDDLR000378,Star Ganesh Associates,Beat visit,SR097,TS-East-3,No order,2024-12-17,20,OK,stockist dispute
PIDACT00000006,2025-11-18,PIDOUT000889,National Geetha Tyres,Complaint follow-up,SR027,TN-South-7,Order taken,2025-11-27,60,outside beat,cash crunch
PIDACT00000007,24/12/2025,PIDOUT002302,Ganesh Sowmya Hardware,Beat visit,SR143,KL-West-5,Demo done,30-Jan-26,20,missing,new counter opened nearby
PIDACT00000008,2025-05-24,PIDOUT002332,City Farida Hardware,Counter meet,SR016,KA-West-2,Owner absent,2025-06-30,60,manual,cash crunch
PIDACT00000009,2024-11-25,PIDDLR000759,Metro Arun Fertilisers Pvt,Beat visit,SR087,TN-South-8,Order taken,2024-12-03,10,same gps as prior visit,new counter opened nearby
PIDACT00000010,2024-04-25,PIDOUT007351,Murugan Irfan Corporation,Beat visit,SR092,KA-North-3,Demo done,,45,same gps as prior visit,new counter opened nearby
PIDACT00000011,2025-06-19,PIDDLR000574,Murugan Geetha Distributors,PKD audit,SR024,KA-East-8,Order taken,2025-07-21,15,outside beat,secondary sale low
PIDACT00000012,2026-01-19,PIDOUT007490,Sri Farida Hardware,Applicator demo,SR123,AP-South-3,Competitor push seen,,10,OK,shifted to competitor
PIDACT00000013,2025-06-06,PIDDLR000210,SRI Irfan Traders,Beat visit,SR037,TS-East-4,Payment follow-up,06/12/2025,10,OK,cash crunch
PIDACT00000014,2024-07-05,PIDOUT005172,Murugan Venkatesh Hardware,Beat visit,SR118,KL-South-3,Stock checked,2024-08-11,60,manual,asked scheme support
PIDACT00000015,2024-05-28,PIDDLR000303,MAHALAKSHMI MEENA TRADERS,PKD audit,SR098,KL-South-3,Order taken,2024-06-27,20,outside beat,
PIDACT00000016,2024-11-22,PIDOUT005425,City Prakash Agencies,Applicator demo,SR131,TN-East-7,Order taken,2024-12-10,30,missing,asked scheme support
PIDACT00000017,2025-07-22,PIDOUT007308,Prime Naveen Tyres,Complaint follow-up,SR052,AP-West-2,Competitor push seen,2025-08-06,5,manual,cash crunch
PIDACT00000018,2025-01-16,PIDOUT008573,Kaveri Naveen Paints,Applicator demo,SR072,TS-West-7,Competitor push seen,,60,same gps as prior visit,cash crunch
PIDACT00000019,05/03/2025,PIDOUT003071,Lucky Bala Sales,Counter meet,SR071,KL-West-8,Complaint raised,,30,same gps as prior visit,secondary sale low
PIDACT00000020,2024-05-09,PIDOUT003895,Vijaya Rafiq Traders,Payment follow-up,SR149,TS-West-5,Payment follow-up,2024-06-02,60,same gps as prior visit,secondary sale low
PIDACT00000021,16/04/2025,PIDOUT007309,City Meena Hardware,Complaint follow-up,SR070,KA-South-3,Demo done,12/05/2025,NA,missing,secondary sale low
PIDACT00000022,20/10/2024,PIDOUT000517,Murugan Lakshmi Paints,Beat visit,SR138,KA-South-2,Stock checked,,15,manual,secondary sale low
PIDACT00000023,2024-05-04,PIDOUT002676,Lucky Jagan Associates,Counter meet,SR038,TS-Central-7,Complaint raised,2024-06-02,45,missing,new counter opened nearby
PIDACT00000024,2025-04-26,PIDOUT007252,Vijaya Rafiq Mart,Complaint follow-up,SR111,KA-South-4,Competitor push seen,2025-05-02,5,same gps as prior visit,shifted to competitor
PIDACT00000025,2024-04-14,PIDOUT003872,National Suresh Hardware,Counter meet,SR007,KL-East-5,Payment follow-up,2024-05-15,10,same gps as prior visit,cash crunch
PIDACT00000026,2024-11-07,PIDOUT001087,Modern Kavya Stores,Counter meet,SR066,KL-South-2,Order taken,2024-12-17,10,missing,asked scheme support
PIDACT00000027,2024-09-03,PIDOUT005191,Kaveri Geetha Hardware,Beat visit,SR092,PY-East-4,Competitor push seen,2024-10-11,15,outside beat,cash crunch
PIDACT00000028,11/08/2025,PIDOUT003902,Lucky Priya Hardware,Payment follow-up,SR133,KL-West-7,Payment follow-up,,10,same gps as prior visit,shifted to competitor
PIDACT00000029,2024-10-13,PIDOUT003791,Shree Ganesh Hardware,PKD audit,SR061,KA-West-5,No order,,20,same gps as prior visit,asked scheme support
PIDACT00000030,29/07/2025,PIDOUT003695,Balaji Farida Services,Counter meet,SR046,KL-West-9,Demo done,,60,outside beat,stockist dispute
PIDACT00000031,07/25/2024,PIDOUT004794,STAR NAVEEN DEPOT,Complaint follow-up,SR074,AP-South-7,Stock checked,,60,OK,
PIDACT00000032,2024-07-23,PIDOUT006547,CITY FARIDA HARDWARE,Beat visit,SR002,KA-North-7,Demo done,07/26/2024,10,manual,
PIDACT00000033,2025-03-30,PIDOUT002106,Kaveri Karthik Hardware,Complaint follow-up,SR056,TS-West-4,Owner absent,2025-05-13,10,missing,stockist dispute
PIDACT00000034,2025-06-11,PIDOUT006957,Metro Sowmya Agencies,Complaint follow-up,SR113,AP-South-7,Order taken,,5,outside beat,
PIDACT00000035,18-Sep-24,PIDOUT001148,Shree Kavya Fertilisers,PKD audit,SR085,TN-East-4,No order,,30,OK,
PIDACT00000036,01-Feb-25,PIDOUT007439,ROYAL RAFIQ DISTRIBUTORS,Counter meet,SR039,TN-North-6,Demo done,,15,OK,
PIDACT00000037,2025-05-24,PIDOUT007030,ROYAL YUSUF DISTRIBUTORS,Applicator demo,SR104,TS-West-2,Order taken,2025-06-07,45,manual,shifted to competitor
PIDACT00000038,2025-02-23,PIDOUT006855,Prime Hari Distributors,Counter meet,SR042,TN-West-9,Stock checked,,10,OK,
PIDACT00000039,06/07/2025,PIDOUT001478,Modern Yusuf Chemicals,Complaint follow-up,SR114,KA-Central-1,Complaint raised,2025-08-18,NA,outside beat,cash crunch
PIDACT00000040,2025-07-07,PIDOUT001255,Sree Chandra Stores,Beat visit,SR107,TS-South-8,Demo done,14-Jul-25,30,outside beat,
PIDACT00000041,2026-03-25,PIDOUT003101,City Naveen Tyres,Payment follow-up,SR077,TN-West-2,Competitor push seen,2026-04-02,NA,same gps as prior visit,stockist dispute
PIDACT00000042,06/02/2025,PIDOUT000716,MURUGAN VENKATESH HARDWARE,Complaint follow-up,SR004,TS-East-4,Competitor push seen,2025-07-13,30,manual,secondary sale low
PIDACT00000043,2024-12-21,PIDOUT002778,New Yusuf Hardware,PKD audit,SR021,KA-North-6,Payment follow-up,25/01/2025,5,manual,asked scheme support
PIDACT00000044,2025-07-19,PIDOUT002849,Royal Prakash Hardware,Complaint follow-up,SR123,TS-West-2,Payment follow-up,2025-08-26,5,missing,cash crunch
PIDACT00000045,2025-11-18,PIDOUT001146,Prime Lokesh Chemicals,Payment follow-up,SR110,TS-East-2,Demo done,,45,missing,shifted to competitor
PIDACT00000046,2026-03-09,PIDOUT001589,Sree Senthil Traders,Applicator demo,SR088,KL-South-2,Payment follow-up,2026-04-10,5,manual,cash crunch
PIDACT00000047,2025-05-17,PIDOUT005381,Prime Deepak Agro,PKD audit,SR111,AP-South-9,Stock checked,30/05/2025,30,manual,stockist dispute
PIDACT00000048,2025-01-14,PIDDLR000334,National Ganesh Traders,PKD audit,SR126,KA-East-2,No order,,NA,outside beat,cash crunch
PIDACT00000049,2025-08-19,PIDOUT007381,SHREE FARIDA ASSOCIATES,Counter meet,SR121,TN-West-4,Complaint raised,2025-08-30,5,same gps as prior visit,asked scheme support
PIDACT00000050,2024-08-12,PIDOUT004030,Shree Karthik Hardware,Payment follow-up,SR031,KA-South-2,Order taken,26/08/2024,NA,OK,
PIDACT00000051,2026-02-26,PIDOUT004445,National Irfan Traders,PKD audit,SR016,KA-West-4,Stock checked,2026-03-29,10,same gps as prior visit,stockist dispute
PIDACT00000052,01/06/2024,PIDOUT001761,Mahalakshmi Suresh Agro,Payment follow-up,SR061,TN-West-1,Demo done,14-Jun-24,NA,manual,secondary sale low
PIDACT00000053,2025-10-27,PIDOUT007687,United Senthil Distributors,Complaint follow-up,SR083,KL-Central-7,No order,2025-11-22,15,missing,cash crunch
PIDACT00000054,2025-11-28,PIDOUT005704,Sree Sanjay Enterprises,Payment follow-up,SR018,TN-North-2,No order,2026-01-05,60,outside beat,asked scheme support
PIDACT00000055,03/20/2025,PIDOUT008176,SRI Yusuf Paints,Applicator demo,SR122,KA-South-6,Complaint raised,2025-03-29,10,outside beat,secondary sale low
PIDACT00000056,2024-08-13,PIDOUT006505,SRI Venkatesh Hardware,PKD audit,SR109,AP-Central-3,Competitor push seen,2024-09-03,60,manual,
PIDACT00000057,2024-10-03,PIDOUT006113,National Chandra Hardware,Beat visit,SR062,TS-North-2,Order taken,2024-11-02,20,missing,shifted to competitor
PIDACT00000058,01/22/2026,PIDOUT003255,Royal Anand Hardware,Applicator demo,SR064,TN-North-3,Competitor push seen,2026-02-26,45,missing,secondary sale low
PIDACT00000059,2024-11-19,PIDOUT000966,Sree Manoj Hardware,Beat visit,SR116,KA-West-8,Owner absent,2025-01-01,30,OK,secondary sale low
PIDACT00000060,2025-09-10,PIDOUT005040,Metro Meena Hardware,Payment follow-up,SR131,TS-North-4,Stock checked,,60,OK,
PIDACT00000061,2026-01-09,PIDOUT001008,Kaveri Priya Distributors,Payment follow-up,SR015,TN-Central-1,Complaint raised,2026-02-16,5,missing,new counter opened nearby
PIDACT00000062,2025-03-28,PIDOUT005709,SREE KARTHIK STORES,Beat visit,SR047,KA-Central-4,Owner absent,26/04/2025,15,same gps as prior visit,stockist dispute
PIDACT00000063,2025-12-05,PIDOUT004334,Murugan Priya Associates,Beat visit,SR015,TN-North-4,No order,,15,OK,cash crunch
PIDACT00000064,22/04/2024,PIDOUT007413,Sri Sowmya Services,Counter meet,SR028,TN-Central-1,Complaint raised,2024-06-03,60,OK,new counter opened nearby
PIDACT00000065,2025-03-19,PIDOUT008515,Star Naveen Hardware,Beat visit,SR143,PY-Central-7,No order,,20,missing,
PIDACT00000066,2024-04-02,PIDOUT005932,Murugan Manoj Hardware,Counter meet,SR150,AP-Central-1,Complaint raised,,15,same gps as prior visit,new counter opened nearby
PIDACT00000067,2025-07-05,PIDOUT003851,Ganesh Rafiq Distributors,Beat visit,SR064,KA-North-1,Stock checked,2025-08-18,15,OK,cash crunch
PIDACT00000068,2024-07-02,PIDOUT002123,Ganesh Manoj Mart,PKD audit,SR070,TN-Central-7,Competitor push seen,2024-07-30,60,manual,asked scheme support
PIDACT00000069,2024-06-18,PIDOUT006930,Lucky Meena Traders,Applicator demo,SR042,KA-South-9,Order taken,2024-07-09,10,manual,
PIDACT00000070,21/02/2026,PIDOUT002974,Sree Priya Mart,Applicator demo,SR076,TN-West-8,Stock checked,2026-02-28,45,same gps as prior visit,secondary sale low
PIDACT00000071,2026-03-16,PIDOUT005165,Royal Prakash Mart,Complaint follow-up,SR018,AP-West-8,Stock checked,,45,outside beat,asked scheme support
PIDACT00000072,14/08/2025,PIDOUT006887,Sree Anand Services,Counter meet,SR118,AP-East-5,Stock checked,19/08/2025,45,same gps as prior visit,shifted to competitor
PIDACT00000073,2024-11-19,PIDOUT003739,Balaji Meena Tyres,Beat visit,SR143,KA-North-5,Complaint raised,2025-01-03,10,OK,secondary sale low
PIDACT00000074,12/12/2024,PIDOUT001508,Ganesh Karthik Hardware,Applicator demo,SR051,TN-North-6,Demo done,2025-01-13,45,OK,asked scheme support
