purchase_id,purchase_date,influencer_id,mapped_outlet_id,sku_id,points_earned,purchase_value,bill_photo_status,approval_status,note
PIDINFBUY00000001,2024-06-14,PIDINF003284,PIDOUT005167,PID0003,21,1363.24,duplicate,approved,cash bill
PIDINFBUY00000002,08/07/2024,PIDINF001338,PIDOUT005815,PID0003,333,15604.66,ok,rejected,old SKU code
PIDINFBUY00000003,2025-04-11,PIDINF001340,PIDOUT004518,PID0028,359,9110.07,duplicate,pending,dealer name mismatch
PIDINFBUY00000004,15-Oct-25,PIDINF002453,PIDOUT007389,PID0018,141,9981.28,ok,rejected,
PIDINFBUY00000005,2025-08-07,PIDINF001504,PIDOUT001538,PID0014,218,7109.37,ok,rework,
PIDINFBUY00000006,2025-07-08,PIDINF001625,PIDOUT003745,PID0023,828,17963.04,blurred,rejected,old SKU code
PIDINFBUY00000007,2025-05-20,PIDINF001230,PIDOUT007789,PID0033,235,15179.05,ok,pending,dealer name mismatch
PIDINFBUY00000008,11/19/2025,PIDINF003093,PIDOUT008482,PID0027,325,16893.04,duplicate,approved,same bill twice
PIDINFBUY00000009,2025-11-01,PIDINF000401,PIDOUT004018,PID0031,258,7383.50,missing,pending,cash bill
PIDINFBUY00000010,2025-05-20,PIDINF003007,PIDOUT002777,PID0004,8,600.26,duplicate,rejected,same bill twice
PIDINFBUY00000011,05/01/2025,PIDINF001865,PIDOUT008551,PID0028,294,13266.84,duplicate,rejected,same bill twice
PIDINFBUY00000012,2025-04-25,PIDINF001201,PIDOUT006617,PID0017,234,17401.05,blurred,rejected,old SKU code
PIDINFBUY00000013,2026-03-18,PIDINF000233,PIDOUT003590,PID0031,75,2294.69,duplicate,approved,
PIDINFBUY00000014,03/12/2025,PIDINF002973,PIDOUT000028,PID0001,388,11934.40,manual,pending,cash bill
PIDINFBUY00000015,2025-04-01,PIDINF002677,PIDOUT007210,PID0010,293,16976.14,duplicate,approved,cash bill
PIDINFBUY00000016,03/05/2024,PIDINF003053,PIDOUT004991,PID0008,139,8145.37,duplicate,pending,cash bill
PIDINFBUY00000017,30/05/2024,PIDINF002154,PIDOUT008477,PID0013,169,10080.45,manual,pending,old SKU code
PIDINFBUY00000018,2024-07-08,PIDINF002582,PIDOUT000518,PID0027,335,7635.75,blurred,rejected,old SKU code
PIDINFBUY00000019,2025-01-28,PIDINF002236,PIDOUT002424,PID0022,207,8482.19,manual,rework,
PIDINFBUY00000020,2025-09-21,PIDINF002657,PIDOUT008514,PID0008,13,545.27,blurred,rejected,old SKU code
PIDINFBUY00000021,2025-01-28,PIDINF003041,PIDOUT002581,PID0027,612,16333.87,ok,rework,cash bill
PIDINFBUY00000022,2025-07-31,PIDINF001742,PIDOUT004383,PID0008,70,3279.55,ok,pending,same bill twice
PIDINFBUY00000023,2024-09-24,PIDINF002175,PIDOUT001040,PID0005,70,1871.34,ok,approved,same bill twice
PIDINFBUY00000024,01/08/2024,PIDINF000701,PIDOUT000843,PID0019,94,3013.03,duplicate,pending,old SKU code
PIDINFBUY00000025,2025-03-31,PIDINF001251,PIDOUT007214,PID0001,330,15308.14,duplicate,pending,cash bill
PIDINFBUY00000026,2024-11-13,PIDINF001512,PIDOUT001327,PID0032,31,1063.36,blurred,rework,cash bill
PIDINFBUY00000027,2024-08-20,PIDINF000542,PIDOUT008419,PID0009,488,14964.55,missing,approved,cash bill
PIDINFBUY00000028,2024-11-05,PIDINF002277,PIDOUT001474,PID0025,205,14575.98,duplicate,rework,cash bill
PIDINFBUY00000029,2024-04-29,PIDINF000683,PIDOUT005924,PID0016,239,12491.73,missing,rework,cash bill
PIDINFBUY00000030,2025-11-05,PIDINF003254,PIDOUT002020,PID0016,382,13710.27,duplicate,rejected,cash bill
PIDINFBUY00000031,05-Jun-24,PIDINF000031,PIDOUT007356,PID0028,551,11399.58,missing,pending,old SKU code
PIDINFBUY00000032,2025-11-03,PIDINF000160,PIDOUT008617,PID0026,213,14316.96,duplicate,approved,
PIDINFBUY00000033,03/19/2026,PIDINF001759,PIDOUT000865,PID0024,235,17453.34,ok,rejected,same bill twice
PIDINFBUY00000034,05/09/2025,PIDINF001823,PIDOUT001342,PID0011,177,9875.69,ok,rework,old SKU code
PIDINFBUY00000035,2024-09-13,PIDINF000722,PIDOUT000081,PID0001,181,7111.88,missing,pending,same bill twice
PIDINFBUY00000036,2024-12-23,PIDINF003255,PIDOUT001836,PID0010,56,4155.59,manual,approved,same bill twice
PIDINFBUY00000037,2026-01-03,PIDINF002715,PIDOUT006035,PID0004,390,8459.20,blurred,pending,cash bill
PIDINFBUY00000038,2024-11-30,PIDINF002853,PIDOUT008013,PID0004,210,9587.56,missing,pending,same bill twice
PIDINFBUY00000039,2024-06-30,PIDINF000451,PIDOUT004146,PID0013,325,14399.52,blurred,rework,dealer name mismatch
PIDINFBUY00000040,2025-02-13,PIDINF001199,PIDOUT004548,PID0026,9,405.15,blurred,rejected,old SKU code
PIDINFBUY00000041,2024-10-11,PIDINF003059,PIDOUT008083,PID0029,263,17969.84,ok,rework,dealer name mismatch
PIDINFBUY00000042,15/03/2025,PIDINF000827,PIDOUT003182,PID0030,708,14326.88,blurred,pending,same bill twice
PIDINFBUY00000043,04-Jun-25,PIDINF003398,PIDOUT003542,PID0006,103,6926.35,blurred,rework,dealer name mismatch
PIDINFBUY00000044,2025-10-15,PIDINF002406,PIDOUT005410,PID0016,164,9446.93,ok,pending,dealer name mismatch
PIDINFBUY00000045,2025-10-31,PIDINF002932,PIDOUT001477,PID0021,429,10688.69,missing,pending,same bill twice
PIDINFBUY00000046,2025-04-12,PIDINF001247,PIDOUT003526,PID0012,313,15379.21,manual,rejected,same bill twice
PIDINFBUY00000047,2024-05-11,PIDINF001380,PIDOUT006104,PID0008,270,10234.21,missing,approved,old SKU code
PIDINFBUY00000048,2024-09-04,PIDINF001414,PIDOUT006686,PID0023,144,9634.00,blurred,approved,cash bill
PIDINFBUY00000049,16/10/2025,PIDINF000964,PIDOUT005473,PID0002,75,4715.30,ok,approved,old SKU code
PIDINFBUY00000050,2024-05-20,PIDINF000229,PIDOUT001030,PID0029,131,8404.62,ok,rework,
PIDINFBUY00000051,2024-12-20,PIDINF003074,PIDOUT004672,PID0031,296,11074.17,ok,approved,cash bill
