claim_id,claim_date,customer_id,customer_name,sku_id,claim_type,quantity,claim_amount,approved_amount,status,reason_text,document_status
PIDCLM0000001,03-Jun-25,PIDOUT001591,Metro Chandra Fertilisers Ltd,PID0022,Rate difference,1,65798.48,60276.07,Settled,leakage,invoice missing
PIDCLM0000002,2024-10-04,PIDOUT008101,Sri Farida Hardware,PID0030,Expiry,55,81199.45,59120.85,Rejected,rate difference,manual approval
PIDCLM0000003,04/03/2025,PIDDLR000746,Kaveri Lakshmi Fertilisers,PID0024,Scheme claim,28,40442.10,2723.45,Credit note raised,wrong SKU billed,complete
PIDCLM0000004,2025-10-09,PIDDLR000710,Balaji Meena Distributors,PID0025,Leakage,49,44250.66,18358.91,Rejected,wrong SKU billed,invoice missing
PIDCLM0000005,07/07/2024,PIDOUT000751,Shree Deepak Distributors,PID0023,Short supply,38,54301.05,45384.94,Approved,rate difference,invoice missing
PIDCLM0000006,2026-03-18,PIDOUT007866,Kaveri Hari Paints Main,PID0026,Rate difference,23,72213.59,22794.48,Rejected,wrong SKU billed,duplicate suspected
PIDCLM0000007,2025-12-20,PIDOUT002515,Prime Hari Agencies,PID0028,Scheme claim,60,63469.69,10495.30,Rejected,rate difference,photo missing
PIDCLM0000008,2024-07-15,PIDOUT005937,Modern Suresh Hardware,PID0010,Expiry,57,78437.14,62540.82,Open,batch issue,photo missing
PIDCLM0000009,2025-02-25,PIDOUT005092,Metro Karthik Associates,PID0014,Scheme claim,26,30080.62,29851.15,Open,damaged in transit,photo missing
PIDCLM0000010,01/15/2025,PIDOUT000804,Sri Farida Hardware,PID0005,Rate difference,14,41165.34,13131.02,Approved,warranty defect,photo missing
PIDCLM0000011,2025-01-20,PIDOUT007097,Prime Deepak Stores,PID0031,Leakage,36,23305.12,12117.67,Settled,damaged in transit,manual approval
PIDCLM0000012,2025-10-15,PIDDLR001080,KAVERI SENTHIL PAINTS,PID0019,Leakage,33,63979.01,35567.64,Approved,rate difference,manual approval
PIDCLM0000013,2025-05-16,PIDOUT004757,New Yusuf Hardware,PID0025,Expiry,39,76140.76,62880.22,Credit note raised,leakage,complete
PIDCLM0000014,2024-04-23,PIDOUT006548,Balaji Bala Stores,PID0008,Damage return,44,13514.50,4724.10,Open,batch issue,duplicate suspected
PIDCLM0000015,2025-04-02,PIDOUT004433,Shree Suresh Sales,PID0016,Scheme claim,17,40515.86,1531.27,Pending photo,rate difference,complete
PIDCLM0000016,2026-02-02,PIDOUT008999,Metro Prakash Corporation,PID0029,Scheme claim,23,19579.76,339.11,Rejected,warranty defect,manual approval
PIDCLM0000017,24-Sep-25,PIDOUT002060,Mahalakshmi Bala Hardware Ltd,PID0024,Scheme claim,21,42296.74,14939.11,Rejected,damaged in transit,complete
PIDCLM0000018,2026-03-18,PIDOUT000456,Sree Sowmya Hardware,PID0026,Scheme claim,15,14805.89,9368.26,Pending photo,expired stock,duplicate suspected
PIDCLM0000019,2026-02-24,PIDOUT005825,Star Yusuf Chemicals,PID0020,Short supply,14,63380.91,40235.30,Credit note raised,rate difference,photo missing
PIDCLM0000020,2025-12-16,PIDOUT005019,Royal Venkatesh Stores,PID0032,Scheme claim,42,41402.93,3063.22,Rejected,batch issue,complete
PIDCLM0000021,2025-01-02,PIDOUT005567,Royal Revathi Associates,PID0023,Short supply,18,4186.90,1253.07,Open,expired stock,photo missing
PIDCLM0000022,2025-09-22,PIDOUT005301,New Karthik Services,PID0015,Scheme claim,5,28395.73,17927.17,Open,batch issue,invoice missing
PIDCLM0000023,2025-01-08,PIDOUT007142,Star Meena Hardware,PID0014,Damage return,39,24858.01,4640.92,Credit note raised,wrong SKU billed,manual approval
PIDCLM0000024,2025-04-04,PIDDLR000879,NATIONAL VENKATESH AGRO,PID0002,Expiry,37,4589.30,3689.91,Rejected,expired stock,manual approval
PIDCLM0000025,2025-10-23,PIDOUT002507,NEW HARI MART,PID0032,Scheme claim,58,21102.75,13126.88,Approved,batch issue,invoice missing
PIDCLM0000026,2025-02-11,PIDOUT001364,Shri Naveen Stores,PID0004,Short supply,31,10738.05,10392.91,Rejected,expired stock,duplicate suspected
PIDCLM0000027,2024-11-13,PIDOUT001844,Ganesh Kavya Tyres,PID0028,Damage return,54,54382.93,8626.32,Credit note raised,expired stock,photo missing
PIDCLM0000028,2024-04-14,PIDOUT008546,Vijaya Jagan Hardware,PID0032,Damage return,5,44791.00,14608.96,Settled,rate difference,photo missing
PIDCLM0000029,2024-12-13,PIDOUT005343,Shree Chandra Agro,PID0017,Damage return,12,19113.87,7905.91,Settled,wrong SKU billed,invoice missing
PIDCLM0000030,2025-11-15,PIDOUT005479,New Manoj Hardware,PID0028,Damage return,1,58029.48,14997.56,Open,wrong SKU billed,duplicate suspected
PIDCLM0000031,2024-10-26,PIDOUT004325,United Suresh Depot,PID0009,Scheme claim,57,34136.44,6806.64,Settled,damaged in transit,invoice missing
PIDCLM0000032,2026-01-25,PIDDLR000577,Balaji Ganesh Distributors,PID0019,Leakage,20,75519.32,52627.86,Settled,dealer says slow moving,invoice missing
PIDCLM0000033,2024-07-28,PIDOUT000549,Mahalakshmi Anand Hardware,PID0022,Scheme claim,43,64328.19,57544.04,Open,leakage,manual approval
PIDCLM0000034,2024-04-18,PIDOUT008677,SRI NAVEEN HARDWARE,PID0016,Rate difference,19,1834.04,740.92,Pending photo,expired stock,complete
PIDCLM0000035,03/26/2025,PIDOUT004043,Shree Naveen Fertilisers,PID0022,Leakage,56,84961.82,43932.68,Open,dealer says slow moving,complete
PIDCLM0000036,2025-01-24,PIDOUT000571,Balaji Sowmya Agencies Main,PID0026,Short supply,4,45143.13,44843.56,Credit note raised,dealer says slow moving,complete
PIDCLM0000037,05-Nov-25,PIDOUT005040,Metro Meena Hardware,PID0006,Scheme claim,44,68475.50,35822.60,Credit note raised,damaged in transit,invoice missing
PIDCLM0000038,2026-03-12,PIDOUT008159,Shree Bala Hardware,PID0033,Short supply,42,66283.38,54837.46,Pending photo,rate difference,manual approval
PIDCLM0000039,2025-11-14,PIDOUT004041,New Arun Hardware Ltd,PID0010,Damage return,22,76723.53,246.21,Open,dealer says slow moving,duplicate suspected
PIDCLM0000040,2024-08-14,PIDDLR000682,Royal Hari Distributors,PID0020,Short supply,37,82699.16,43560.45,Approved,expired stock,duplicate suspected
PIDCLM0000041,09/06/2024,PIDOUT003760,City Prakash Hardware,PID0013,Leakage,32,13302.57,2622.31,Open,expired stock,complete
PIDCLM0000042,02/09/2026,PIDOUT002028,Prime Lakshmi Hardware,PID0022,Rate difference,34,27544.21,12062.55,Settled,leakage,photo missing
PIDCLM0000043,2024-12-31,PIDOUT000558,Kaveri Deepak Hardware,PID0010,Scheme claim,27,46439.90,7547.35,Pending photo,expired stock,invoice missing
PIDCLM0000044,2026-01-07,PIDOUT008141,National Chandra Agro,PID0003,Short supply,16,39223.94,18242.92,Settled,wrong SKU billed,complete
PIDCLM0000045,2025-12-29,PIDOUT003412,Murugan Anand Stores,PID0024,Damage return,34,77506.69,58964.27,Approved,rate difference,complete
PIDCLM0000046,2025-05-16,PIDDLR000688,Kaveri Jagan Distributors,PID0012,Expiry,54,43643.26,12809.41,Approved,batch issue,invoice missing
